	gene_id_NPS-447_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	1
A2M_AS1	0
A2ML1	3
A2MP1	1
A3GALT2	1
A4GALT	11
A4GNT	0
AA06	0
AAAS	0
AACS	5
AACSP1	4
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	3
AAK1	15
AAMDC	0
AAMP	29
AANAT	2
AAR2	2
AARD	0
AARS	9
AARS2	2
AARSD1	0
AASDH	2
AASDHPPT	2
AASS	2
AATBC	12
AATF	29
AATK	12
AATK_AS1	0
ABALON	2
ABAT	5
ABCA1	20
ABCA10	1
ABCA11P	1
ABCA12	3
ABCA13	83
ABCA17P	0
ABCA2	7
ABCA3	2
ABCA4	0
ABCA5	0
ABCA6	2
ABCA7	20
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	1
ABCB10	1
ABCB11	6
ABCB4	3
ABCB5	0
ABCB6	5
ABCB7	0
ABCB8	7
ABCB9	2
ABCC1	19
ABCC10	9
ABCC11	1
ABCC12	0
ABCC13	0
ABCC2	0
ABCC3	0
ABCC4	2
ABCC5	13
ABCC5_AS1	1
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	12
ABCD2	0
ABCD3	16
ABCD4	5
ABCE1	0
ABCF1	64
ABCF2	7
ABCF3	7
ABCG1	5
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	1
ABHD10	1
ABHD11	5
ABHD11_AS1	0
ABHD12	5
ABHD12B	1
ABHD13	2
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	3
ABHD15	5
ABHD16A	9
ABHD16B	2
ABHD17A	2
ABHD17B	2
ABHD17C	2
ABHD2	26
ABHD3	2
ABHD4	3
ABHD5	0
ABHD6	0
ABHD8	3
ABI1	12
ABI2	6
ABI3	19
ABI3BP	0
ABL1	30
ABL2	6
ABLIM1	24
ABLIM2	7
ABLIM3	1
ABO	1
ABR	37
ABRA	1
ABRACL	2
ABT1	3
ABTB1	20
ABTB2	1
ACAA1	8
ACAA2	3
ACACA	17
ACACB	8
ACAD10	9
ACAD11	0
ACAD8	5
ACAD9	6
ACADL	0
ACADM	2
ACADS	2
ACADSB	0
ACADVL	16
ACAN	0
ACAP1	16
ACAP2	7
ACAP3	13
ACAT1	1
ACAT2	1
ACBD3	70
ACBD4	2
ACBD5	33
ACBD6	5
ACBD7	1
ACCS	0
ACCSL	0
ACD	2
ACE	7
ACE2	1
ACER1	0
ACER2	2
ACER3	0
ACHE	0
ACIN1	199
ACKR1	0
ACKR2	1
ACKR3	1
ACKR4	0
ACLY	11
ACMSD	0
ACO1	14
ACO2	8
ACOT1	0
ACOT11	12
ACOT12	0
ACOT13	3
ACOT2	0
ACOT4	0
ACOT6	0
ACOT7	9
ACOT8	0
ACOT9	8
ACOX1	8
ACOX2	0
ACOX3	7
ACOXL	10
ACP1	3
ACP2	2
ACP5	2
ACP6	0
ACPP	0
ACPT	0
ACR	0
ACRBP	1
ACRC	0
ACRV1	0
ACSBG1	6
ACSBG2	0
ACSF2	2
ACSF3	4
ACSL1	29
ACSL3	7
ACSL4	2
ACSL5	9
ACSL6	1
ACSM1	0
ACSM2A	0
ACSM2B	0
ACSM3	3
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	4
ACSS2	5
ACSS3	0
ACTA1	0
ACTA2	10
ACTA2_AS1	0
ACTB	236
ACTBL2	0
ACTC1	0
ACTG1	111
ACTG1P17	3
ACTG1P20	0
ACTG1P4	1
ACTG2	0
ACTL10	4
ACTL6A	4
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	11
ACTN1_AS1	0
ACTN2	0
ACTN3	0
ACTN4	91
ACTR10	0
ACTR1A	5
ACTR1B	1
ACTR2	22
ACTR3	19
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	7
ACTR6	2
ACTR8	23
ACTRT1	0
ACTRT2	82
ACTRT3	0
ACVR1	3
ACVR1B	6
ACVR1C	1195
ACVR2A	0
ACVR2B	1
ACVR2B_AS1	0
ACVRL1	0
ACY1	1
ACY3	0
ACYP1	6
ACYP2	1
ADA	3
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	30
ADAM11	1
ADAM12	3
ADAM15	5
ADAM17	3
ADAM18	0
ADAM19	17
ADAM1A	4
ADAM2	0
ADAM20	0
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	1
ADAM23	1
ADAM28	7
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	13
ADAM9	23
ADAMDEC1	0
ADAMTS1	0
ADAMTS10	4
ADAMTS12	0
ADAMTS13	1
ADAMTS14	1
ADAMTS15	2
ADAMTS16	2
ADAMTS17	1
ADAMTS18	51
ADAMTS19	0
ADAMTS19_AS1	1
ADAMTS2	1
ADAMTS20	0
ADAMTS3	1
ADAMTS4	0
ADAMTS5	0
ADAMTS6	1
ADAMTS7	0
ADAMTS7P1	1
ADAMTS8	2
ADAMTS9	1
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	63
ADAMTSL2	0
ADAMTSL3	9
ADAMTSL4	32
ADAMTSL4_AS1	4
ADAMTSL5	1
ADAP1	10
ADAP2	4
ADAR	66
ADARB1	1
ADARB2	11
ADARB2_AS1	0
ADAT1	3
ADAT2	0
ADAT3	1
ADCK1	2
ADCK2	98
ADCK3	3
ADCK4	7
ADCK5	3
ADCY1	0
ADCY10	0
ADCY10P1	2
ADCY2	1
ADCY3	0
ADCY4	3
ADCY5	5
ADCY6	13
ADCY7	2
ADCY8	14
ADCY9	12
ADCYAP1	7
ADCYAP1R1	0
ADD1	30
ADD2	3
ADD3	14
ADD3_AS1	0
ADGB	9
ADGRA1	3
ADGRA1_AS1	0
ADGRA2	0
ADGRA3	0
ADGRB1	1
ADGRB2	3
ADGRB3	0
ADGRD1	0
ADGRE1	0
ADGRE2	11
ADGRE3	0
ADGRE4P	0
ADGRE5	20
ADGRF1	4
ADGRF2	0
ADGRF3	2
ADGRF4	0
ADGRF5	0
ADGRG1	9
ADGRG2	0
ADGRG3	12
ADGRG4	0
ADGRG5	0
ADGRG6	1
ADGRG7	0
ADGRL1	7
ADGRL2	4
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	4
ADH1A	0
ADH1B	0
ADH1C	16
ADH4	0
ADH5	8
ADH6	0
ADH7	26
ADHFE1	0
ADI1	6
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	12
ADIPOR2	1
ADIRF	0
ADK	0
ADM	4
ADM2	2
ADM5	1
ADNP	2
ADNP_AS1	0
ADNP2	2
ADO	3
ADORA1	4
ADORA2A	0
ADORA2A_AS1	0
ADORA2B	5
ADORA3	0
ADPGK	0
ADPGK_AS1	0
ADPRH	23
ADPRHL1	13
ADPRHL2	13
ADPRM	0
ADRA1A	14
ADRA1B	0
ADRA1D	0
ADRA2A	2
ADRA2B	2
ADRA2C	4
ADRB1	1
ADRB2	0
ADRB3	0
ADRBK1	17
ADRBK2	1
ADRM1	24
ADSL	3
ADSS	9
ADSSL1	3
ADTRP	0
AEBP1	36
AEBP2	96
AEN	4
AES	56
AFAP1	107
AFAP1_AS1	1
AFAP1L1	2
AFAP1L2	0
AFF1	20
AFF2	0
AFF3	0
AFF4	17
AFG3L1P	2
AFG3L2	6
AFM	0
AFMID	6
AFP	0
AFTPH	8
AGA	0
AGAP1	12
AGAP1_IT1	0
AGAP11	0
AGAP2	30
AGAP2_AS1	0
AGAP3	7
AGAP4	0
AGAP5	0
AGAP6	0
AGAP7P	0
AGAP9	0
AGBL1	0
AGBL1_AS1	0
AGBL2	3
AGBL3	0
AGBL4	1
AGBL4_IT1	0
AGBL5	7
AGBL5_AS1	0
AGER	4
AGFG1	1
AGFG2	28
AGGF1	5
AGK	7
AGL	1
AGMAT	1
AGMO	0
AGO1	11
AGO2	4
AGO3	2
AGO4	2
AGPAT1	5
AGPAT2	7
AGPAT3	11
AGPAT4	2
AGPAT4_IT1	0
AGPAT5	0
AGPS	5
AGR2	15
AGR3	0
AGRN	84
AGRP	0
AGT	0
AGTPBP1	0
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	0
AGXT2	1
AHCTF1	4
AHCTF1P1	0
AHCY	0
AHCYL1	19
AHCYL2	11
AHDC1	11
AHI1	12
AHNAK	183
AHNAK2	4
AHR	115
AHRR	1
AHSA1	19
AHSA2	64
AHSG	0
AHSP	0
AICDA	0
AIDA	0
AIF1	5
AIF1L	4
AIFM1	4
AIFM2	3
AIFM3	1
AIG1	1
AIM1	19
AIM1L	1
AIM2	3
AIMP1	7
AIMP2	0
AIP	3
AIPL1	0
AIRE	0
AIRN	1
AJAP1	1
AJUBA	1
AK1	14
AK2	8
AK3	2
AK4	0
AK5	0
AK6	0
AK7	30
AK8	6
AK9	134
AKAP1	5
AKAP10	3
AKAP11	4
AKAP12	1
AKAP13	56
AKAP14	2
AKAP17A	56
AKAP2	0
AKAP3	8
AKAP4	0
AKAP5	1
AKAP6	2
AKAP7	2
AKAP8	51
AKAP8L	130
AKAP9	40
AKIP1	1
AKIRIN1	5
AKIRIN2	3
AKNA	53
AKNAD1	0
AKR1A1	19
AKR1B1	3
AKR1B10	2
AKR1B15	0
AKR1C1	4
AKR1C2	10
AKR1C3	2
AKR1C4	0
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	0
AKR7A2	0
AKR7A2P1	0
AKR7A3	0
AKR7L	1
AKT1	11
AKT1S1	10
AKT2	4
AKT3	3
AKTIP	1
ALAD	9
ALAS1	5
ALAS2	0
ALB	0
ALCAM	45
ALDH16A1	9
ALDH18A1	3
ALDH1A1	137
ALDH1A2	2
ALDH1A3	1
ALDH1B1	1
ALDH1L1	4
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	0
ALDH2	7
ALDH3A1	129
ALDH3A2	10
ALDH3B1	35
ALDH3B2	4
ALDH4A1	2
ALDH5A1	4
ALDH6A1	1
ALDH7A1	6
ALDH8A1	0
ALDH9A1	3
ALDOA	128
ALDOB	0
ALDOC	0
ALG1	0
ALG10	0
ALG10B	0
ALG11	1
ALG12	0
ALG13	7
ALG14	0
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	4
ALG3	0
ALG5	1
ALG6	0
ALG8	0
ALG9	1
ALK	3
ALKBH1	0
ALKBH2	0
ALKBH3	0
ALKBH3_AS1	0
ALKBH4	0
ALKBH5	11
ALKBH6	1
ALKBH7	3
ALKBH8	0
ALLC	0
ALMS1	10
ALMS1_IT1	0
ALMS1P	0
ALOX12	0
ALOX12_AS1	0
ALOX12B	2
ALOX12P2	9
ALOX15	132
ALOX15B	0
ALOX15P1	2
ALOX5	2
ALOX5AP	2
ALOXE3	0
ALPI	0
ALPK1	7
ALPK2	0
ALPK3	2
ALPL	25
ALPP	0
ALPPL2	0
ALS2	4
ALS2CL	26
ALS2CR11	0
ALS2CR12	16
ALX1	0
ALX3	0
ALX4	4
ALYREF	7
AMACR	1
AMBN	0
AMBP	4
AMBRA1	10
AMD1	1
AMDHD1	0
AMDHD2	0
AMELX	0
AMELY	0
AMER1	1
AMER2	0
AMER3	0
AMFR	6
AMH	7
AMHR2	0
AMICA1	4
AMIGO1	0
AMIGO2	0
AMIGO3	2
AMMECR1	3
AMMECR1L	3
AMN	3
AMN1	0
AMOT	8
AMOTL1	3
AMOTL2	4
AMPD1	0
AMPD2	9
AMPD3	23
AMPH	0
AMT	3
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	0
AMZ2	2
AMZ2P1	2
ANAPC1	0
ANAPC10	0
ANAPC11	10
ANAPC13	3
ANAPC15	0
ANAPC16	11
ANAPC1P1	0
ANAPC2	8
ANAPC4	0
ANAPC5	3
ANAPC7	6
ANG	0
ANGEL1	0
ANGEL2	2
ANGPT1	1
ANGPT2	0
ANGPT4	0
ANGPTL1	0
ANGPTL2	0
ANGPTL3	0
ANGPTL4	0
ANGPTL5	0
ANGPTL6	0
ANGPTL7	0
ANHX	0
ANK1	2
ANK2	0
ANK3	29
ANKAR	2
ANKDD1A	13
ANKDD1B	6
ANKEF1	2
ANKFN1	0
ANKFY1	11
ANKH	0
ANKHD1	0
ANKHD1_EIF4EBP3	0
ANKIB1	7
ANKK1	1
ANKLE1	0
ANKLE2	8
ANKMY1	9
ANKMY2	2
ANKRA2	1
ANKRD1	0
ANKRD10	4
ANKRD11	87
ANKRD12	10
ANKRD13A	3
ANKRD13B	0
ANKRD13C	0
ANKRD13D	14
ANKRD16	4
ANKRD17	90
ANKRD18A	3
ANKRD18B	1
ANKRD18DP	0
ANKRD19P	2
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	0
ANKRD20A19P	0
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	0
ANKRD20A8P	2
ANKRD20A9P	1
ANKRD22	0
ANKRD23	9
ANKRD24	3
ANKRD26	5
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	2
ANKRD28	1
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	0
ANKRD33B	2
ANKRD34A	3
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	40
ANKRD36	9
ANKRD36B	2
ANKRD36BP1	0
ANKRD36BP2	0
ANKRD36C	10
ANKRD37	0
ANKRD39	0
ANKRD40	2
ANKRD42	21
ANKRD44	5
ANKRD44_IT1	0
ANKRD45	6
ANKRD46	0
ANKRD49	3
ANKRD50	4
ANKRD52	12
ANKRD53	0
ANKRD54	4
ANKRD55	0
ANKRD6	11
ANKRD60	0
ANKRD61	0
ANKRD62	0
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	11
ANKRD66	4
ANKRD7	0
ANKRD9	2
ANKS1A	16
ANKS1B	0
ANKS3	5
ANKS4B	1
ANKS6	5
ANKUB1	0
ANKZF1	20
ANLN	0
ANO1	2
ANO1_AS2	0
ANO10	1
ANO2	0
ANO3	0
ANO4	0
ANO5	25
ANO6	8
ANO7	1
ANO8	5
ANO9	3
ANOS1	0
ANP32A	70
ANP32A_IT1	0
ANP32AP1	0
ANP32B	124
ANP32C	0
ANP32D	0
ANP32E	110
ANPEP	17
ANTXR1	1
ANTXR2	2
ANTXRL	0
ANTXRLP1	0
ANXA1	60
ANXA10	0
ANXA11	32
ANXA13	0
ANXA2	24
ANXA2P1	0
ANXA2P2	0
ANXA2P3	0
ANXA2R	0
ANXA3	9
ANXA4	3
ANXA5	4
ANXA6	5
ANXA7	7
ANXA8	0
ANXA8L1	0
ANXA9	0
AOAH	2
AOAH_IT1	0
AOC1	1
AOC2	0
AOC3	0
AOC4P	0
AOX1	0
AOX2P	0
AP1AR	5
AP1B1	18
AP1B1P1	0
AP1G1	5
AP1G2	7
AP1M1	6
AP1M2	8
AP1S1	2
AP1S2	0
AP1S3	3
AP2A1	15
AP2A2	7
AP2B1	15
AP2M1	9
AP2S1	0
AP3B1	56
AP3B2	8
AP3D1	166
AP3M1	2
AP3M2	1
AP3S1	2
AP3S2	0
AP4B1	5
AP4B1_AS1	0
AP4E1	5
AP4M1	0
AP4S1	5
AP5B1	22
AP5M1	0
AP5S1	1
AP5Z1	15
APAF1	1
APBA1	2
APBA2	3
APBA3	0
APBB1	1
APBB1IP	6
APBB2	1
APBB3	7
APC	1
APC2	12
APCDD1	1
APCDD1L	1
APCDD1L_AS1	0
APCS	0
APEH	13
APELA	0
APEX1	15
APEX2	0
APH1A	4
APH1B	1
API5	2
APIP	0
APITD1	0
APITD1_CORT	0
APLF	3
APLN	0
APLNR	0
APLP1	1
APLP2	134
APMAP	2
APOA1	0
APOA1_AS	0
APOA1BP	3
APOA2	0
APOA4	0
APOA5	2
APOB	0
APOBEC1	0
APOBEC2	0
APOBEC3A	9
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	5
APOBEC3D	4
APOBEC3F	32
APOBEC3G	0
APOBEC3H	0
APOBEC4	2
APOBR	59
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	2
APOE	7
APOF	0
APOH	0
APOL1	186
APOL2	35
APOL3	13
APOL4	0
APOL5	0
APOL6	92
APOLD1	1
APOM	0
APOO	1
APOOL	5
APOOP5	0
APOPT1	2
APP	61
APPBP2	2
APPL1	2
APPL2	8
APRT	1
APTR	1
APTX	5
AQP1	0
AQP10	0
AQP11	0
AQP12A	0
AQP12B	0
AQP2	3
AQP3	98
AQP4	2
AQP4_AS1	2
AQP5	56
AQP6	1
AQP7	0
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	7
AQR	20
AR	15
ARAF	9
ARAP1	36
ARAP2	1
ARAP3	2
ARC	0
ARCN1	14
AREG	0
AREL1	3
ARF1	19
ARF3	32
ARF4	1
ARF5	5
ARF6	43
ARFGAP1	6
ARFGAP2	8
ARFGAP3	135
ARFGEF1	16
ARFGEF2	5
ARFGEF3	22
ARFIP1	3
ARFIP2	4
ARFRP1	6
ARG1	0
ARG2	0
ARGFX	0
ARGFXP2	0
ARGLU1	243
ARHGAP1	7
ARHGAP10	0
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	5
ARHGAP15	0
ARHGAP17	6
ARHGAP18	10
ARHGAP19	5
ARHGAP19_SLIT1	0
ARHGAP20	0
ARHGAP21	18
ARHGAP22	1
ARHGAP23	11
ARHGAP24	0
ARHGAP25	6
ARHGAP26	14
ARHGAP26_AS1	1
ARHGAP26_IT1	0
ARHGAP27	34
ARHGAP28	0
ARHGAP29	3
ARHGAP30	20
ARHGAP31	1
ARHGAP31_AS1	0
ARHGAP32	13
ARHGAP33	8
ARHGAP35	13
ARHGAP36	1
ARHGAP39	14
ARHGAP4	16
ARHGAP40	2
ARHGAP42	0
ARHGAP44	6
ARHGAP5	12
ARHGAP5_AS1	1
ARHGAP6	3
ARHGAP8	0
ARHGAP9	24
ARHGDIA	19
ARHGDIB	7
ARHGDIG	0
ARHGEF1	34
ARHGEF10	0
ARHGEF10L	7
ARHGEF11	4
ARHGEF12	5
ARHGEF15	2
ARHGEF16	26
ARHGEF17	6
ARHGEF18	22
ARHGEF19	1
ARHGEF2	15
ARHGEF25	0
ARHGEF26	4
ARHGEF26_AS1	0
ARHGEF28	14
ARHGEF3	12
ARHGEF3_AS1	0
ARHGEF33	3
ARHGEF34P	0
ARHGEF35	1
ARHGEF37	8
ARHGEF38	1
ARHGEF38_IT1	0
ARHGEF39	3
ARHGEF4	2
ARHGEF40	3
ARHGEF5	2
ARHGEF6	4
ARHGEF7	10
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	5
ARHGEF9_IT1	0
ARID1A	57
ARID1B	30
ARID2	4
ARID3A	3
ARID3B	2
ARID3C	0
ARID4A	9
ARID4B	123
ARID5A	18
ARID5B	10
ARIH1	40
ARIH2	10
ARIH2OS	2
ARL1	4
ARL10	0
ARL11	4
ARL13A	0
ARL13B	5
ARL14	0
ARL14EP	1
ARL14EPL	0
ARL15	2
ARL16	12
ARL17A	2
ARL17B	0
ARL2	0
ARL2_SNX15	0
ARL2BP	1
ARL3	14
ARL4A	1
ARL4C	5
ARL4D	2
ARL5A	1
ARL5B	1
ARL5C	0
ARL6	1
ARL6IP1	4
ARL6IP4	174
ARL6IP5	4
ARL6IP6	4
ARL8A	11
ARL8B	0
ARL9	0
ARMC1	1
ARMC10	1
ARMC12	0
ARMC2	2
ARMC2_AS1	0
ARMC3	20
ARMC4	5
ARMC5	0
ARMC6	1
ARMC7	1
