	gene_id_NP53_1_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	3
A2M_AS1	1
A2ML1	19
A2MP1	1
A3GALT2	0
A4GALT	43
A4GNT	0
AA06	0
AAAS	7
AACS	23
AACSP1	13
AADAC	0
AADACL2	25
AADACL2_AS1	13
AADACL3	0
AADACL4	0
AADACP1	6
AADAT	8
AAED1	6
AAGAB	25
AAK1	45
AAMDC	5
AAMP	62
AANAT	0
AAR2	9
AARD	0
AARS	30
AARS2	13
AARSD1	1
AASDH	11
AASDHPPT	16
AASS	10
AATBC	3
AATF	42
AATK	2
AATK_AS1	0
ABALON	4
ABAT	42
ABCA1	16
ABCA10	11
ABCA11P	4
ABCA12	6
ABCA13	1088
ABCA17P	0
ABCA2	32
ABCA3	7
ABCA4	7
ABCA5	56
ABCA6	1
ABCA7	41
ABCA8	0
ABCA9	3
ABCA9_AS1	0
ABCB1	1
ABCB10	16
ABCB11	17
ABCB4	1
ABCB5	1
ABCB6	16
ABCB7	17
ABCB8	21
ABCB9	3
ABCC1	32
ABCC10	18
ABCC11	0
ABCC12	1
ABCC13	1
ABCC2	6
ABCC3	11
ABCC4	6
ABCC5	83
ABCC5_AS1	2
ABCC6	7
ABCC6P1	0
ABCC6P2	0
ABCC8	1
ABCC9	0
ABCD1	10
ABCD2	5
ABCD3	78
ABCD4	12
ABCE1	24
ABCF1	67
ABCF2	19
ABCF3	42
ABCG1	30
ABCG2	0
ABCG4	4
ABCG5	1
ABCG8	0
ABHD1	1
ABHD10	12
ABHD11	39
ABHD11_AS1	2
ABHD12	19
ABHD12B	19
ABHD13	9
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	6
ABHD15	5
ABHD16A	23
ABHD16B	3
ABHD17A	10
ABHD17B	24
ABHD17C	19
ABHD2	133
ABHD3	14
ABHD4	2
ABHD5	26
ABHD6	19
ABHD8	2
ABI1	75
ABI2	48
ABI3	5
ABI3BP	0
ABL1	35
ABL2	34
ABLIM1	125
ABLIM2	11
ABLIM3	9
ABO	24
ABR	78
ABRA	0
ABRACL	8
ABT1	14
ABTB1	3
ABTB2	8
ACAA1	25
ACAA2	0
ACACA	93
ACACB	48
ACAD10	25
ACAD11	1
ACAD8	9
ACAD9	28
ACADL	2
ACADM	22
ACADS	6
ACADSB	15
ACADVL	95
ACAN	3
ACAP1	13
ACAP2	47
ACAP3	21
ACAT1	9
ACAT2	7
ACBD3	105
ACBD4	3
ACBD5	69
ACBD6	10
ACBD7	8
ACCS	13
ACCSL	0
ACD	1
ACE	24
ACE2	9
ACER1	0
ACER2	8
ACER3	9
ACHE	4
ACIN1	235
ACKR1	0
ACKR2	1
ACKR3	4
ACKR4	2
ACLY	61
ACMSD	0
ACO1	24
ACO2	61
ACOT1	6
ACOT11	11
ACOT12	0
ACOT13	13
ACOT2	4
ACOT4	1
ACOT6	0
ACOT7	3
ACOT8	6
ACOT9	24
ACOX1	37
ACOX2	5
ACOX3	34
ACOXL	86
ACP1	30
ACP2	19
ACP5	1
ACP6	11
ACPP	0
ACPT	0
ACR	0
ACRBP	4
ACRC	4
ACRV1	0
ACSBG1	8
ACSBG2	2
ACSF2	34
ACSF3	6
ACSL1	135
ACSL3	46
ACSL4	9
ACSL5	22
ACSL6	1
ACSM1	4
ACSM2A	0
ACSM2B	0
ACSM3	4
ACSM4	0
ACSM5	0
ACSM6	1
ACSS1	42
ACSS2	14
ACSS3	20
ACTA1	2
ACTA2	14
ACTA2_AS1	0
ACTB	549
ACTBL2	2
ACTC1	0
ACTG1	564
ACTG1P17	1
ACTG1P20	1
ACTG1P4	1
ACTG2	0
ACTL10	2
ACTL6A	13
ACTL6B	2
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	38
ACTN1_AS1	0
ACTN2	1
ACTN3	1
ACTN4	344
ACTR10	16
ACTR1A	14
ACTR1B	21
ACTR2	65
ACTR3	74
ACTR3B	6
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	2
ACTR5	2
ACTR6	23
ACTR8	28
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	12
ACVR1B	27
ACVR1C	1125
ACVR2A	10
ACVR2B	12
ACVR2B_AS1	3
ACVRL1	1
ACY1	0
ACY3	2
ACYP1	30
ACYP2	1
ADA	17
ADAD1	1
ADAD2	1
ADAL	4
ADAM10	33
ADAM11	3
ADAM12	36
ADAM15	28
ADAM17	23
ADAM18	2
ADAM19	2
ADAM1A	9
ADAM2	0
ADAM20	1
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	4
ADAM23	2
ADAM28	56
ADAM29	0
ADAM30	0
ADAM32	1
ADAM33	5
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	5
ADAM9	52
ADAMDEC1	0
ADAMTS1	3
ADAMTS10	0
ADAMTS12	2
ADAMTS13	4
ADAMTS14	7
ADAMTS15	5
ADAMTS16	0
ADAMTS17	2
ADAMTS18	7
ADAMTS19	2
ADAMTS19_AS1	0
ADAMTS2	1
ADAMTS20	0
ADAMTS3	7
ADAMTS4	3
ADAMTS5	2
ADAMTS6	1
ADAMTS7	0
ADAMTS7P1	7
ADAMTS8	6
ADAMTS9	2
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	202
ADAMTSL2	2
ADAMTSL3	7
ADAMTSL4	16
ADAMTSL4_AS1	6
ADAMTSL5	1
ADAP1	7
ADAP2	4
ADAR	422
ADARB1	6
ADARB2	18
ADARB2_AS1	1
ADAT1	13
ADAT2	5
ADAT3	4
ADCK1	16
ADCK2	204
ADCK3	18
ADCK4	24
ADCK5	2
ADCY1	1
ADCY10	2
ADCY10P1	3
ADCY2	20
ADCY3	2
ADCY4	8
ADCY5	14
ADCY6	30
ADCY7	4
ADCY8	81
ADCY9	30
ADCYAP1	3
ADCYAP1R1	0
ADD1	104
ADD2	0
ADD3	86
ADD3_AS1	1
ADGB	102
ADGRA1	3
ADGRA1_AS1	1
ADGRA2	3
ADGRA3	11
ADGRB1	2
ADGRB2	9
ADGRB3	1
ADGRD1	0
ADGRE1	0
ADGRE2	5
ADGRE3	0
ADGRE4P	0
ADGRE5	31
ADGRF1	44
ADGRF2	2
ADGRF3	7
ADGRF4	0
ADGRF5	1
ADGRG1	57
ADGRG2	1
ADGRG3	9
ADGRG4	0
ADGRG5	0
ADGRG6	11
ADGRG7	1
ADGRL1	9
ADGRL2	2
ADGRL3	2
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	59
ADH1A	0
ADH1B	0
ADH1C	152
ADH4	0
ADH5	15
ADH6	5
ADH7	213
ADHFE1	8
ADI1	20
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	60
ADIPOR2	24
ADIRF	12
ADK	6
ADM	8
ADM2	11
ADM5	1
ADNP	62
ADNP_AS1	9
ADNP2	10
ADO	7
ADORA1	6
ADORA2A	1
ADORA2A_AS1	0
ADORA2B	5
ADORA3	0
ADPGK	15
ADPGK_AS1	0
ADPRH	37
ADPRHL1	12
ADPRHL2	37
ADPRM	2
ADRA1A	3
ADRA1B	0
ADRA1D	3
ADRA2A	3
ADRA2B	3
ADRA2C	1
ADRB1	19
ADRB2	7
ADRB3	1
ADRBK1	53
ADRBK2	12
ADRM1	47
ADSL	10
ADSS	76
ADSSL1	28
ADTRP	1
AEBP1	8
AEBP2	120
AEN	8
AES	168
AFAP1	17
AFAP1_AS1	4
AFAP1L1	3
AFAP1L2	3
AFF1	119
AFF2	2
AFF3	2
AFF4	99
AFG3L1P	8
AFG3L2	33
AFM	0
AFMID	4
AFP	0
AFTPH	26
AGA	4
AGAP1	51
AGAP1_IT1	3
AGAP11	2
AGAP2	2
AGAP2_AS1	0
AGAP3	46
AGAP4	4
AGAP5	4
AGAP6	3
AGAP7P	0
AGAP9	11
AGBL1	1
AGBL1_AS1	0
AGBL2	74
AGBL3	10
AGBL4	7
AGBL4_IT1	0
AGBL5	44
AGBL5_AS1	1
AGER	9
AGFG1	11
AGFG2	26
AGGF1	39
AGK	25
AGL	39
AGMAT	4
AGMO	0
AGO1	54
AGO2	27
AGO3	10
AGO4	25
AGPAT1	12
AGPAT2	9
AGPAT3	53
AGPAT4	8
AGPAT4_IT1	0
AGPAT5	11
AGPS	27
AGR2	128
AGR3	6
AGRN	173
AGRP	0
AGT	0
AGTPBP1	15
AGTR1	0
AGTR2	0
AGTRAP	9
AGXT	0
AGXT2	1
AHCTF1	35
AHCTF1P1	1
AHCY	13
AHCYL1	64
AHCYL2	66
AHDC1	33
AHI1	74
AHNAK	1305
AHNAK2	118
AHR	64
AHRR	1
AHSA1	101
AHSA2	86
AHSG	0
AHSP	0
AICDA	0
AIDA	3
AIF1	2
AIF1L	15
AIFM1	24
AIFM2	18
AIFM3	3
AIG1	5
AIM1	79
AIM1L	23
AIM2	3
AIMP1	36
AIMP2	5
AIP	2
AIPL1	0
AIRE	3
AIRN	1
AJAP1	6
AJUBA	4
AK1	44
AK2	21
AK3	13
AK4	0
AK5	2
AK6	3
AK7	200
AK8	30
AK9	218
AKAP1	26
AKAP10	21
AKAP11	63
AKAP12	8
AKAP13	200
AKAP14	38
AKAP17A	55
AKAP2	0
AKAP3	4
AKAP4	0
AKAP5	2
AKAP6	37
AKAP7	6
AKAP8	67
AKAP8L	158
AKAP9	670
AKIP1	11
AKIRIN1	27
AKIRIN2	6
AKNA	135
AKNAD1	0
AKR1A1	54
AKR1B1	16
AKR1B10	7
AKR1B15	0
AKR1C1	21
AKR1C2	35
AKR1C3	12
AKR1C4	1
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	3
AKR7A2	13
AKR7A2P1	0
AKR7A3	3
AKR7L	8
AKT1	62
AKT1S1	19
AKT2	38
AKT3	4
AKTIP	9
ALAD	15
ALAS1	27
ALAS2	0
ALB	1
ALCAM	301
ALDH16A1	9
ALDH18A1	22
ALDH1A1	767
ALDH1A2	0
ALDH1A3	17
ALDH1B1	2
ALDH1L1	16
ALDH1L1_AS1	1
ALDH1L1_AS2	0
ALDH1L2	1
ALDH2	69
ALDH3A1	773
ALDH3A2	55
ALDH3B1	248
ALDH3B2	11
ALDH4A1	4
ALDH5A1	13
ALDH6A1	14
ALDH7A1	13
ALDH8A1	0
ALDH9A1	30
ALDOA	266
ALDOB	0
ALDOC	1
ALG1	6
ALG10	1
ALG10B	11
ALG11	10
ALG12	0
ALG13	39
ALG14	6
ALG1L	1
ALG1L2	1
ALG1L9P	0
ALG2	11
ALG3	3
ALG5	7
ALG6	5
ALG8	2
ALG9	5
ALK	3
ALKBH1	2
ALKBH2	4
ALKBH3	7
ALKBH3_AS1	0
ALKBH4	7
ALKBH5	67
ALKBH6	4
ALKBH7	5
ALKBH8	13
ALLC	1
ALMS1	173
ALMS1_IT1	2
ALMS1P	6
ALOX12	3
ALOX12_AS1	1
ALOX12B	3
ALOX12P2	18
ALOX15	1134
ALOX15B	0
ALOX15P1	2
ALOX5	0
ALOX5AP	1
ALOXE3	0
ALPI	0
ALPK1	30
ALPK2	2
ALPK3	7
ALPL	5
ALPP	0
ALPPL2	1
ALS2	25
ALS2CL	59
ALS2CR11	0
ALS2CR12	47
ALX1	0
ALX3	2
ALX4	2
ALYREF	12
AMACR	1
AMBN	0
AMBP	31
AMBRA1	33
AMD1	22
AMDHD1	1
AMDHD2	6
AMELX	0
AMELY	0
AMER1	7
AMER2	0
AMER3	3
AMFR	35
AMH	17
AMHR2	0
AMICA1	1
AMIGO1	3
AMIGO2	1
AMIGO3	10
AMMECR1	8
AMMECR1L	5
AMN	4
AMN1	7
AMOT	61
AMOTL1	7
AMOTL2	22
AMPD1	0
AMPD2	8
AMPD3	47
AMPH	2
AMT	5
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	8
AMZ1	4
AMZ2	21
AMZ2P1	5
ANAPC1	14
ANAPC10	4
ANAPC11	8
ANAPC13	11
ANAPC15	2
ANAPC16	63
ANAPC1P1	0
ANAPC2	26
ANAPC4	13
ANAPC5	44
ANAPC7	14
ANG	1
ANGEL1	8
ANGEL2	17
ANGPT1	3
ANGPT2	2
ANGPT4	0
ANGPTL1	0
ANGPTL2	6
ANGPTL3	2
ANGPTL4	4
ANGPTL5	4
ANGPTL6	1
ANGPTL7	1
ANHX	0
ANK1	2
ANK2	8
ANK3	259
ANKAR	3
ANKDD1A	4
ANKDD1B	33
ANKEF1	10
ANKFN1	31
ANKFY1	69
ANKH	13
ANKHD1	2
ANKHD1_EIF4EBP3	0
ANKIB1	37
ANKK1	10
ANKLE1	0
ANKLE2	43
ANKMY1	64
ANKMY2	21
ANKRA2	23
ANKRD1	0
ANKRD10	16
ANKRD11	197
ANKRD12	117
ANKRD13A	44
ANKRD13B	3
ANKRD13C	24
ANKRD13D	26
ANKRD16	9
ANKRD17	144
ANKRD18A	35
ANKRD18B	21
ANKRD18DP	1
ANKRD19P	0
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	2
ANKRD20A12P	0
ANKRD20A19P	2
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	1
ANKRD20A5P	1
ANKRD20A8P	3
ANKRD20A9P	1
ANKRD22	2
ANKRD23	19
ANKRD24	3
ANKRD26	81
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	19
ANKRD28	61
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	2
ANKRD33	1
ANKRD33B	1
ANKRD34A	3
ANKRD34B	3
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	29
ANKRD36	50
ANKRD36B	26
ANKRD36BP1	7
ANKRD36BP2	2
ANKRD36C	94
ANKRD37	9
ANKRD39	1
ANKRD40	15
ANKRD42	118
ANKRD44	4
ANKRD44_IT1	0
ANKRD45	46
ANKRD46	1
ANKRD49	9
ANKRD50	15
ANKRD52	25
ANKRD53	0
ANKRD54	31
ANKRD55	0
ANKRD6	23
ANKRD60	0
ANKRD61	0
ANKRD62	3
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	25
ANKRD66	25
ANKRD7	0
ANKRD9	7
ANKS1A	84
ANKS1B	1
ANKS3	13
ANKS4B	0
ANKS6	29
ANKUB1	113
ANKZF1	102
ANLN	3
ANO1	2
ANO1_AS2	0
ANO10	3
ANO2	1
ANO3	1
ANO4	1
ANO5	68
ANO6	30
ANO7	0
ANO8	7
ANO9	15
ANOS1	6
ANP32A	67
ANP32A_IT1	3
ANP32AP1	2
ANP32B	77
ANP32C	1
ANP32D	0
ANP32E	85
ANPEP	23
ANTXR1	35
ANTXR2	7
ANTXRL	0
ANTXRLP1	0
ANXA1	720
ANXA10	1
ANXA11	146
ANXA13	0
ANXA2	315
ANXA2P1	2
ANXA2P2	3
ANXA2P3	1
ANXA2R	2
ANXA3	28
ANXA4	21
ANXA5	42
ANXA6	9
ANXA7	79
ANXA8	6
ANXA8L1	0
ANXA9	7
AOAH	1
AOAH_IT1	0
AOC1	0
AOC2	6
AOC3	1
AOC4P	0
AOX1	1
AOX2P	0
AP1AR	16
AP1B1	65
AP1B1P1	0
AP1G1	58
AP1G2	26
AP1M1	16
AP1M2	35
AP1S1	12
AP1S2	0
AP1S3	15
AP2A1	31
AP2A2	20
AP2B1	104
AP2M1	52
AP2S1	12
AP3B1	70
AP3B2	14
AP3D1	153
AP3M1	11
AP3M2	17
AP3S1	4
AP3S2	1
AP4B1	7
AP4B1_AS1	0
AP4E1	17
AP4M1	2
AP4S1	9
AP5B1	11
AP5M1	14
AP5S1	6
AP5Z1	17
APAF1	12
APBA1	7
APBA2	1
APBA3	2
APBB1	24
APBB1IP	3
APBB2	17
APBB3	6
APC	41
APC2	14
APCDD1	12
APCDD1L	2
APCDD1L_AS1	1
APCS	0
APEH	35
APELA	1
APEX1	36
APEX2	5
APH1A	27
APH1B	10
API5	25
APIP	1
APITD1	4
APITD1_CORT	0
APLF	2
APLN	0
APLNR	1
APLP1	0
APLP2	399
APMAP	10
APOA1	0
APOA1_AS	2
APOA1BP	11
APOA2	0
APOA4	0
APOA5	1
APOB	1
APOBEC1	0
APOBEC2	0
APOBEC3A	1
APOBEC3A_B	0
APOBEC3B	1
APOBEC3B_AS1	0
APOBEC3C	18
APOBEC3D	17
APOBEC3F	30
APOBEC3G	15
APOBEC3H	0
APOBEC4	20
APOBR	8
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	43
APOE	5
APOF	0
APOH	0
APOL1	397
APOL2	43
APOL3	12
APOL4	5
APOL5	0
APOL6	185
APOLD1	2
APOM	2
APOO	16
APOOL	11
APOOP5	0
APOPT1	8
APP	262
APPBP2	22
APPL1	27
APPL2	59
APRT	9
APTR	6
APTX	14
AQP1	0
AQP10	0
AQP11	3
AQP12A	0
AQP12B	0
AQP2	1
AQP3	420
AQP4	4
AQP4_AS1	24
AQP5	33
AQP6	3
AQP7	6
AQP7P1	1
AQP7P3	1
AQP8	0
AQP9	0
AQR	27
AR	13
ARAF	19
ARAP1	63
ARAP2	62
ARAP3	16
ARC	7
ARCN1	67
AREG	2
AREL1	37
ARF1	84
ARF3	82
ARF4	33
ARF5	15
ARF6	67
ARFGAP1	32
ARFGAP2	33
ARFGAP3	451
ARFGEF1	76
ARFGEF2	73
ARFGEF3	249
ARFIP1	23
ARFIP2	38
ARFRP1	19
ARG1	0
ARG2	6
ARGFX	0
ARGFXP2	2
ARGLU1	280
ARHGAP1	34
ARHGAP10	9
ARHGAP11A	5
ARHGAP11B	0
ARHGAP12	37
ARHGAP15	3
ARHGAP17	23
ARHGAP18	116
ARHGAP19	2
ARHGAP19_SLIT1	0
ARHGAP20	6
ARHGAP21	74
ARHGAP22	1
ARHGAP23	26
ARHGAP24	19
ARHGAP25	4
ARHGAP26	48
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	56
ARHGAP28	0
ARHGAP29	5
ARHGAP30	36
ARHGAP31	5
ARHGAP31_AS1	0
ARHGAP32	109
ARHGAP33	16
ARHGAP35	86
ARHGAP36	0
ARHGAP39	99
ARHGAP4	5
ARHGAP40	3
ARHGAP42	13
ARHGAP44	26
ARHGAP5	133
ARHGAP5_AS1	4
ARHGAP6	0
ARHGAP8	1
ARHGAP9	1
ARHGDIA	53
ARHGDIB	40
ARHGDIG	7
ARHGEF1	37
ARHGEF10	11
ARHGEF10L	24
ARHGEF11	49
ARHGEF12	140
ARHGEF15	4
ARHGEF16	27
ARHGEF17	18
ARHGEF18	44
ARHGEF19	7
ARHGEF2	28
ARHGEF25	0
ARHGEF26	16
ARHGEF26_AS1	2
ARHGEF28	84
ARHGEF3	19
ARHGEF3_AS1	0
ARHGEF33	8
ARHGEF34P	3
ARHGEF35	3
ARHGEF37	22
ARHGEF38	49
ARHGEF38_IT1	2
ARHGEF39	3
ARHGEF4	7
ARHGEF40	9
ARHGEF5	15
ARHGEF6	31
ARHGEF7	24
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	11
ARHGEF9_IT1	0
ARID1A	134
ARID1B	89
ARID2	36
ARID3A	1
ARID3B	7
ARID3C	0
ARID4A	40
ARID4B	125
ARID5A	5
ARID5B	52
ARIH1	75
ARIH2	45
ARIH2OS	2
ARL1	48
ARL10	1
ARL11	2
ARL13A	0
ARL13B	28
ARL14	2
ARL14EP	7
ARL14EPL	0
ARL15	0
ARL16	10
ARL17A	7
ARL17B	0
ARL2	0
ARL2_SNX15	0
ARL2BP	5
ARL3	59
ARL4A	13
ARL4C	14
ARL4D	4
ARL5A	22
ARL5B	13
ARL5C	0
ARL6	10
ARL6IP1	41
ARL6IP4	104
ARL6IP5	21
ARL6IP6	4
ARL8A	13
ARL8B	23
ARL9	0
ARMC1	11
ARMC10	7
ARMC12	0
ARMC2	81
ARMC2_AS1	4
ARMC3	149
ARMC4	121
ARMC5	11
ARMC6	6
