	gene_id_NPS_173_R1_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	0
A2M_AS1	0
A2ML1	0
A2MP1	4
A3GALT2	0
A4GALT	29
A4GNT	0
AA06	0
AAAS	0
AACS	13
AACSP1	8
AADAC	0
AADACL2	12
AADACL2_AS1	11
AADACL3	0
AADACL4	0
AADACP1	6
AADAT	8
AAED1	0
AAGAB	1
AAK1	16
AAMDC	3
AAMP	18
AANAT	0
AAR2	4
AARD	0
AARS	3
AARS2	0
AARSD1	0
AASDH	0
AASDHPPT	4
AASS	4
AATBC	5
AATF	44
AATK	4
AATK_AS1	0
ABALON	2
ABAT	4
ABCA1	8
ABCA10	4
ABCA11P	3
ABCA12	23
ABCA13	435
ABCA17P	1
ABCA2	2
ABCA3	4
ABCA4	1
ABCA5	27
ABCA6	0
ABCA7	6
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	0
ABCB10	3
ABCB11	15
ABCB4	0
ABCB5	4
ABCB6	6
ABCB7	1
ABCB8	2
ABCB9	0
ABCC1	20
ABCC10	5
ABCC11	1
ABCC12	0
ABCC13	0
ABCC2	3
ABCC3	3
ABCC4	3
ABCC5	18
ABCC5_AS1	0
ABCC6	7
ABCC6P1	0
ABCC6P2	0
ABCC8	3
ABCC9	1
ABCD1	2
ABCD2	14
ABCD3	21
ABCD4	1
ABCE1	15
ABCF1	54
ABCF2	8
ABCF3	0
ABCG1	15
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	8
ABHD11	22
ABHD11_AS1	2
ABHD12	6
ABHD12B	3
ABHD13	6
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	3
ABHD15	1
ABHD16A	8
ABHD16B	0
ABHD17A	4
ABHD17B	7
ABHD17C	16
ABHD2	54
ABHD3	1
ABHD4	0
ABHD5	4
ABHD6	4
ABHD8	0
ABI1	21
ABI2	7
ABI3	6
ABI3BP	1
ABL1	14
ABL2	9
ABLIM1	71
ABLIM2	1
ABLIM3	0
ABO	0
ABR	36
ABRA	0
ABRACL	6
ABT1	10
ABTB1	2
ABTB2	0
ACAA1	12
ACAA2	0
ACACA	35
ACACB	21
ACAD10	5
ACAD11	0
ACAD8	10
ACAD9	10
ACADL	0
ACADM	11
ACADS	2
ACADSB	6
ACADVL	15
ACAN	0
ACAP1	0
ACAP2	24
ACAP3	4
ACAT1	0
ACAT2	9
ACBD3	39
ACBD4	1
ACBD5	15
ACBD6	3
ACBD7	3
ACCS	15
ACCSL	0
ACD	0
ACE	6
ACE2	4
ACER1	0
ACER2	0
ACER3	9
ACHE	0
ACIN1	91
ACKR1	0
ACKR2	0
ACKR3	4
ACKR4	7
ACLY	35
ACMSD	0
ACO1	3
ACO2	25
ACOT1	0
ACOT11	13
ACOT12	0
ACOT13	7
ACOT2	0
ACOT4	0
ACOT6	0
ACOT7	0
ACOT8	0
ACOT9	1
ACOX1	6
ACOX2	3
ACOX3	16
ACOXL	1
ACP1	11
ACP2	0
ACP5	2
ACP6	5
ACPP	0
ACPT	0
ACR	0
ACRBP	1
ACRC	1
ACRV1	0
ACSBG1	2
ACSBG2	0
ACSF2	1
ACSF3	0
ACSL1	8
ACSL3	7
ACSL4	2
ACSL5	6
ACSL6	0
ACSM1	1
ACSM2A	0
ACSM2B	0
ACSM3	7
ACSM4	0
ACSM5	1
ACSM6	2
ACSS1	5
ACSS2	6
ACSS3	3
ACTA1	1
ACTA2	0
ACTA2_AS1	0
ACTB	337
ACTBL2	0
ACTC1	0
ACTG1	203
ACTG1P17	3
ACTG1P20	3
ACTG1P4	0
ACTG2	0
ACTL10	2
ACTL6A	2
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	14
ACTN1_AS1	0
ACTN2	5
ACTN3	3
ACTN4	131
ACTR10	5
ACTR1A	4
ACTR1B	1
ACTR2	15
ACTR3	37
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	2
ACTR5	0
ACTR6	2
ACTR8	6
ACTRT1	0
ACTRT2	1
ACTRT3	0
ACVR1	5
ACVR1B	9
ACVR1C	155
ACVR2A	40
ACVR2B	1
ACVR2B_AS1	0
ACVRL1	2
ACY1	0
ACY3	0
ACYP1	4
ACYP2	0
ADA	6
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	22
ADAM11	0
ADAM12	6
ADAM15	3
ADAM17	11
ADAM18	0
ADAM19	0
ADAM1A	0
ADAM2	0
ADAM20	0
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	3
ADAM23	23
ADAM28	69
ADAM29	0
ADAM30	0
ADAM32	3
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	7
ADAM9	32
ADAMDEC1	1
ADAMTS1	0
ADAMTS10	3
ADAMTS12	6
ADAMTS13	1
ADAMTS14	0
ADAMTS15	5
ADAMTS16	3
ADAMTS17	0
ADAMTS18	5
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	5
ADAMTS20	3
ADAMTS3	2
ADAMTS4	1
ADAMTS5	0
ADAMTS6	1
ADAMTS7	2
ADAMTS7P1	2
ADAMTS8	2
ADAMTS9	5
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	30
ADAMTSL2	0
ADAMTSL3	1
ADAMTSL4	14
ADAMTSL4_AS1	4
ADAMTSL5	0
ADAP1	13
ADAP2	1
ADAR	58
ADARB1	1
ADARB2	9
ADARB2_AS1	1
ADAT1	0
ADAT2	0
ADAT3	0
ADCK1	3
ADCK2	24
ADCK3	0
ADCK4	11
ADCK5	2
ADCY1	0
ADCY10	0
ADCY10P1	3
ADCY2	9
ADCY3	0
ADCY4	2
ADCY5	0
ADCY6	5
ADCY7	3
ADCY8	4
ADCY9	8
ADCYAP1	0
ADCYAP1R1	0
ADD1	43
ADD2	0
ADD3	9
ADD3_AS1	8
ADGB	46
ADGRA1	4
ADGRA1_AS1	0
ADGRA2	14
ADGRA3	6
ADGRB1	1
ADGRB2	4
ADGRB3	0
ADGRD1	0
ADGRE1	0
ADGRE2	0
ADGRE3	2
ADGRE4P	0
ADGRE5	3
ADGRF1	7
ADGRF2	0
ADGRF3	1
ADGRF4	0
ADGRF5	4
ADGRG1	13
ADGRG2	0
ADGRG3	8
ADGRG4	0
ADGRG5	2
ADGRG6	1
ADGRG7	0
ADGRL1	7
ADGRL2	6
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	20
ADH1A	0
ADH1B	0
ADH1C	78
ADH4	2
ADH5	7
ADH6	0
ADH7	73
ADHFE1	2
ADI1	5
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	27
ADIPOR2	7
ADIRF	7
ADK	4
ADM	4
ADM2	1
ADM5	3
ADNP	5
ADNP_AS1	0
ADNP2	7
ADO	2
ADORA1	0
ADORA2A	1
ADORA2A_AS1	1
ADORA2B	4
ADORA3	0
ADPGK	6
ADPGK_AS1	4
ADPRH	63
ADPRHL1	9
ADPRHL2	14
ADPRM	2
ADRA1A	2
ADRA1B	1
ADRA1D	0
ADRA2A	0
ADRA2B	1
ADRA2C	1
ADRB1	9
ADRB2	9
ADRB3	0
ADRBK1	14
ADRBK2	6
ADRM1	14
ADSL	9
ADSS	35
ADSSL1	10
ADTRP	2
AEBP1	1
AEBP2	40
AEN	0
AES	64
AFAP1	2
AFAP1_AS1	1
AFAP1L1	0
AFAP1L2	0
AFF1	56
AFF2	0
AFF3	1
AFF4	37
AFG3L1P	9
AFG3L2	10
AFM	0
AFMID	1
AFP	0
AFTPH	6
AGA	3
AGAP1	12
AGAP1_IT1	4
AGAP11	1
AGAP2	4
AGAP2_AS1	0
AGAP3	15
AGAP4	2
AGAP5	0
AGAP6	0
AGAP7P	0
AGAP9	2
AGBL1	1
AGBL1_AS1	0
AGBL2	26
AGBL3	4
AGBL4	12
AGBL4_IT1	1
AGBL5	9
AGBL5_AS1	0
AGER	0
AGFG1	4
AGFG2	9
AGGF1	12
AGK	0
AGL	5
AGMAT	0
AGMO	1
AGO1	6
AGO2	9
AGO3	0
AGO4	56
AGPAT1	5
AGPAT2	3
AGPAT3	26
AGPAT4	4
AGPAT4_IT1	1
AGPAT5	6
AGPS	8
AGR2	62
AGR3	17
AGRN	20
AGRP	0
AGT	0
AGTPBP1	3
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	0
AGXT2	0
AHCTF1	12
AHCTF1P1	0
AHCY	10
AHCYL1	26
AHCYL2	7
AHDC1	15
AHI1	18
AHNAK	623
AHNAK2	2
AHR	37
AHRR	3
AHSA1	34
AHSA2	16
AHSG	0
AHSP	0
AICDA	0
AIDA	2
AIF1	11
AIF1L	6
AIFM1	4
AIFM2	0
AIFM3	0
AIG1	5
AIM1	61
AIM1L	1
AIM2	2
AIMP1	10
AIMP2	0
AIP	1
AIPL1	0
AIRE	2
AIRN	0
AJAP1	2
AJUBA	0
AK1	11
AK2	3
AK3	5
AK4	0
AK5	1
AK6	2
AK7	66
AK8	33
AK9	70
AKAP1	5
AKAP10	10
AKAP11	17
AKAP12	7
AKAP13	71
AKAP14	20
AKAP17A	20
AKAP2	0
AKAP3	0
AKAP4	0
AKAP5	2
AKAP6	17
AKAP7	0
AKAP8	17
AKAP8L	33
AKAP9	220
AKIP1	0
AKIRIN1	4
AKIRIN2	2
AKNA	49
AKNAD1	0
AKR1A1	54
AKR1B1	1
AKR1B10	1
AKR1B15	0
AKR1C1	9
AKR1C2	11
AKR1C3	9
AKR1C4	1
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	0
AKR7A2	6
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	9
AKT1S1	21
AKT2	10
AKT3	2
AKTIP	3
ALAD	5
ALAS1	18
ALAS2	2
ALB	0
ALCAM	73
ALDH16A1	1
ALDH18A1	15
ALDH1A1	283
ALDH1A2	1
ALDH1A3	4
ALDH1B1	1
ALDH1L1	7
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	0
ALDH2	18
ALDH3A1	242
ALDH3A2	9
ALDH3B1	56
ALDH3B2	0
ALDH4A1	8
ALDH5A1	2
ALDH6A1	2
ALDH7A1	4
ALDH8A1	0
ALDH9A1	26
ALDOA	98
ALDOB	0
ALDOC	0
ALG1	1
ALG10	0
ALG10B	0
ALG11	0
ALG12	5
ALG13	15
ALG14	0
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	3
ALG3	2
ALG5	0
ALG6	0
ALG8	0
ALG9	116
ALK	6
ALKBH1	0
ALKBH2	32
ALKBH3	2
ALKBH3_AS1	0
ALKBH4	0
ALKBH5	24
ALKBH6	0
ALKBH7	6
ALKBH8	3
ALLC	0
ALMS1	63
ALMS1_IT1	0
ALMS1P	0
ALOX12	0
ALOX12_AS1	0
ALOX12B	0
ALOX12P2	5
ALOX15	526
ALOX15B	0
ALOX15P1	4
ALOX5	1
ALOX5AP	2
ALOXE3	3
ALPI	0
ALPK1	8
ALPK2	0
ALPK3	16
ALPL	27
ALPP	0
ALPPL2	1
ALS2	2
ALS2CL	5
ALS2CR11	0
ALS2CR12	5
ALX1	0
ALX3	0
ALX4	0
ALYREF	6
AMACR	0
AMBN	0
AMBP	3
AMBRA1	1
AMD1	18
AMDHD1	0
AMDHD2	9
AMELX	0
AMELY	0
AMER1	1
AMER2	0
AMER3	0
AMFR	1
AMH	0
AMHR2	0
AMICA1	3
AMIGO1	3
AMIGO2	9
AMIGO3	0
AMMECR1	3
AMMECR1L	10
AMN	3
AMN1	1
AMOT	13
AMOTL1	3
AMOTL2	16
AMPD1	0
AMPD2	6
AMPD3	23
AMPH	0
AMT	4
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	0
AMZ2	5
AMZ2P1	1
ANAPC1	4
ANAPC10	10
ANAPC11	1
ANAPC13	12
ANAPC15	0
ANAPC16	15
ANAPC1P1	0
ANAPC2	1
ANAPC4	4
ANAPC5	4
ANAPC7	1
ANG	0
ANGEL1	0
ANGEL2	1
ANGPT1	6
ANGPT2	4
ANGPT4	0
ANGPTL1	4
ANGPTL2	1
ANGPTL3	0
ANGPTL4	0
ANGPTL5	0
ANGPTL6	0
ANGPTL7	1
ANHX	0
ANK1	1
ANK2	1
ANK3	90
ANKAR	7
ANKDD1A	0
ANKDD1B	10
ANKEF1	1
ANKFN1	3
ANKFY1	6
ANKH	0
ANKHD1	0
ANKHD1_EIF4EBP3	0
ANKIB1	11
ANKK1	1
ANKLE1	1
ANKLE2	13
ANKMY1	31
ANKMY2	6
ANKRA2	13
ANKRD1	1
ANKRD10	1
ANKRD11	59
ANKRD12	50
ANKRD13A	16
ANKRD13B	0
ANKRD13C	15
ANKRD13D	1
ANKRD16	1
ANKRD17	69
ANKRD18A	5
ANKRD18B	10
ANKRD18DP	0
ANKRD19P	1
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	0
ANKRD20A19P	1
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	0
ANKRD20A8P	0
ANKRD20A9P	0
ANKRD22	2
ANKRD23	5
ANKRD24	0
ANKRD26	12
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	8
ANKRD28	28
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	1
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	0
ANKRD33B	2
ANKRD34A	5
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	30
ANKRD36	10
ANKRD36B	3
ANKRD36BP1	2
ANKRD36BP2	0
ANKRD36C	55
ANKRD37	3
ANKRD39	0
ANKRD40	2
ANKRD42	47
ANKRD44	5
ANKRD44_IT1	0
ANKRD45	15
ANKRD46	0
ANKRD49	0
ANKRD50	15
ANKRD52	4
ANKRD53	0
ANKRD54	6
ANKRD55	0
ANKRD6	7
ANKRD60	0
ANKRD61	1
ANKRD62	5
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	9
ANKRD66	6
ANKRD7	0
ANKRD9	10
ANKS1A	25
ANKS1B	0
ANKS3	8
ANKS4B	0
ANKS6	7
ANKUB1	18
ANKZF1	28
ANLN	9
ANO1	5
ANO1_AS2	0
ANO10	1
ANO2	0
ANO3	0
ANO4	0
ANO5	16
ANO6	9
ANO7	9
ANO8	2
ANO9	0
ANOS1	2
ANP32A	16
ANP32A_IT1	12
ANP32AP1	2
ANP32B	21
ANP32C	0
ANP32D	0
ANP32E	21
ANPEP	38
ANTXR1	3
ANTXR2	0
ANTXRL	0
ANTXRLP1	0
ANXA1	233
ANXA10	1
ANXA11	49
ANXA13	0
ANXA2	105
ANXA2P1	0
ANXA2P2	3
ANXA2P3	0
ANXA2R	0
ANXA3	15
ANXA4	4
ANXA5	38
ANXA6	1
ANXA7	23
ANXA8	0
ANXA8L1	0
ANXA9	0
AOAH	0
AOAH_IT1	0
AOC1	0
AOC2	0
AOC3	7
AOC4P	0
AOX1	1
AOX2P	0
AP1AR	3
AP1B1	8
AP1B1P1	1
AP1G1	38
AP1G2	2
AP1M1	5
AP1M2	3
AP1S1	2
AP1S2	0
AP1S3	3
AP2A1	8
AP2A2	13
AP2B1	39
AP2M1	38
AP2S1	1
AP3B1	29
AP3B2	0
AP3D1	66
AP3M1	11
AP3M2	0
AP3S1	1
AP3S2	0
AP4B1	0
AP4B1_AS1	0
AP4E1	5
AP4M1	1
AP4S1	3
AP5B1	1
AP5M1	3
AP5S1	0
AP5Z1	3
APAF1	3
APBA1	126
APBA2	0
APBA3	0
APBB1	13
APBB1IP	6
APBB2	13
APBB3	1
APC	4
APC2	11
APCDD1	14
APCDD1L	0
APCDD1L_AS1	0
APCS	0
APEH	6
APELA	0
APEX1	8
APEX2	0
APH1A	1
APH1B	2
API5	17
APIP	0
APITD1	0
APITD1_CORT	0
APLF	0
APLN	1
APLNR	1
APLP1	4
APLP2	223
APMAP	7
APOA1	0
APOA1_AS	1
APOA1BP	12
APOA2	0
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	1
APOBEC3A	0
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	3
APOBEC3D	0
APOBEC3F	2
APOBEC3G	0
APOBEC3H	1
APOBEC4	9
APOBR	10
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	4
APOE	5
APOF	0
APOH	0
APOL1	17
APOL2	11
APOL3	1
APOL4	2
APOL5	7
APOL6	25
APOLD1	5
APOM	0
APOO	13
APOOL	1
APOOP5	0
APOPT1	8
APP	147
APPBP2	7
APPL1	9
APPL2	14
APRT	12
APTR	4
APTX	9
AQP1	3
AQP10	0
AQP11	0
AQP12A	0
AQP12B	0
AQP2	0
AQP3	128
AQP4	0
AQP4_AS1	0
AQP5	16
AQP6	7
AQP7	3
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	6
AQR	11
AR	6
ARAF	6
ARAP1	30
ARAP2	11
ARAP3	6
ARC	0
ARCN1	22
AREG	1
AREL1	5
ARF1	41
ARF3	24
ARF4	13
ARF5	3
ARF6	27
ARFGAP1	8
ARFGAP2	13
ARFGAP3	35
ARFGEF1	37
ARFGEF2	28
ARFGEF3	53
ARFIP1	4
ARFIP2	10
ARFRP1	4
ARG1	0
ARG2	1
ARGFX	0
ARGFXP2	0
ARGLU1	56
ARHGAP1	11
ARHGAP10	0
ARHGAP11A	11
ARHGAP11B	3
ARHGAP12	13
ARHGAP15	1
ARHGAP17	12
ARHGAP18	31
ARHGAP19	3
ARHGAP19_SLIT1	0
ARHGAP20	0
ARHGAP21	31
ARHGAP22	2
ARHGAP23	4
ARHGAP24	16
ARHGAP25	9
ARHGAP26	21
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	11
ARHGAP28	0
ARHGAP29	1
ARHGAP30	10
ARHGAP31	3
ARHGAP31_AS1	0
ARHGAP32	70
ARHGAP33	7
ARHGAP35	20
ARHGAP36	1
ARHGAP39	18
ARHGAP4	3
ARHGAP40	0
ARHGAP42	2
ARHGAP44	2
ARHGAP5	50
ARHGAP5_AS1	2
ARHGAP6	0
ARHGAP8	0
ARHGAP9	0
ARHGDIA	33
ARHGDIB	35
ARHGDIG	0
ARHGEF1	21
ARHGEF10	15
ARHGEF10L	10
ARHGEF11	16
ARHGEF12	34
ARHGEF15	0
ARHGEF16	7
ARHGEF17	6
ARHGEF18	22
ARHGEF19	0
ARHGEF2	7
ARHGEF25	4
ARHGEF26	4
ARHGEF26_AS1	5
ARHGEF28	37
ARHGEF3	8
ARHGEF3_AS1	0
ARHGEF33	0
ARHGEF34P	0
ARHGEF35	0
ARHGEF37	10
ARHGEF38	18
ARHGEF38_IT1	0
ARHGEF39	0
ARHGEF4	2
ARHGEF40	4
ARHGEF5	7
ARHGEF6	0
ARHGEF7	8
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	6
ARHGEF9_IT1	0
ARID1A	69
ARID1B	29
ARID2	28
ARID3A	0
ARID3B	2
ARID3C	1
ARID4A	11
ARID4B	49
ARID5A	7
ARID5B	20
ARIH1	32
ARIH2	16
ARIH2OS	0
ARL1	23
ARL10	0
ARL11	1
ARL13A	0
ARL13B	2
ARL14	0
ARL14EP	0
ARL14EPL	0
ARL15	0
ARL16	3
ARL17A	0
ARL17B	0
ARL2	6
ARL2_SNX15	0
ARL2BP	3
ARL3	17
ARL4A	6
ARL4C	1
ARL4D	1
ARL5A	10
ARL5B	6
ARL5C	0
ARL6	1
ARL6IP1	29
ARL6IP4	69
ARL6IP5	15
ARL6IP6	0
ARL8A	4
ARL8B	5
ARL9	1
ARMC1	2
ARMC10	0
ARMC12	0
ARMC2	21
ARMC2_AS1	0
ARMC3	24
ARMC4	20
ARMC5	2
ARMC6	1
ARMC7	9
