	gene_id_Covid3_R1_
A1BG	2
A1BG_AS1	0
A1CF	1
A2M	1
A2M_AS1	0
A2ML1	0
A2MP1	1
A3GALT2	0
A4GALT	21
A4GNT	0
AA06	0
AAAS	0
AACS	2
AACSP1	1
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	7
AAK1	14
AAMDC	1
AAMP	15
AANAT	0
AAR2	0
AARD	0
AARS	6
AARS2	2
AARSD1	0
AASDH	0
AASDHPPT	0
AASS	2
AATBC	8
AATF	17
AATK	17
AATK_AS1	0
ABALON	0
ABAT	3
ABCA1	5
ABCA10	0
ABCA11P	0
ABCA12	4
ABCA13	42
ABCA17P	1
ABCA2	3
ABCA3	1
ABCA4	0
ABCA5	4
ABCA6	1
ABCA7	8
ABCA8	0
ABCA9	0
ABCA9_AS1	0
ABCB1	0
ABCB10	0
ABCB11	2
ABCB4	1
ABCB5	0
ABCB6	1
ABCB7	0
ABCB8	2
ABCB9	0
ABCC1	13
ABCC10	9
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	0
ABCC3	4
ABCC4	0
ABCC5	17
ABCC5_AS1	0
ABCC6	1
ABCC6P1	0
ABCC6P2	0
ABCC8	2
ABCC9	1
ABCD1	2
ABCD2	0
ABCD3	3
ABCD4	1
ABCE1	2
ABCF1	20
ABCF2	4
ABCF3	7
ABCG1	8
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	0
ABHD11	5
ABHD11_AS1	0
ABHD12	3
ABHD12B	0
ABHD13	1
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	1
ABHD15	6
ABHD16A	9
ABHD16B	1
ABHD17A	0
ABHD17B	0
ABHD17C	2
ABHD2	19
ABHD3	1
ABHD4	0
ABHD5	4
ABHD6	1
ABHD8	1
ABI1	4
ABI2	3
ABI3	13
ABI3BP	0
ABL1	49
ABL2	1
ABLIM1	17
ABLIM2	3
ABLIM3	6
ABO	7
ABR	20
ABRA	0
ABRACL	1
ABT1	1
ABTB1	3
ABTB2	6
ACAA1	2
ACAA2	0
ACACA	6
ACACB	5
ACAD10	7
ACAD11	0
ACAD8	4
ACAD9	0
ACADL	0
ACADM	1
ACADS	0
ACADSB	1
ACADVL	36
ACAN	1
ACAP1	0
ACAP2	12
ACAP3	9
ACAT1	5
ACAT2	0
ACBD3	30
ACBD4	1
ACBD5	13
ACBD6	4
ACBD7	2
ACCS	3
ACCSL	0
ACD	0
ACE	12
ACE2	1
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	54
ACKR1	0
ACKR2	1
ACKR3	0
ACKR4	0
ACLY	7
ACMSD	0
ACO1	1
ACO2	8
ACOT1	2
ACOT11	2
ACOT12	0
ACOT13	2
ACOT2	0
ACOT4	0
ACOT6	0
ACOT7	0
ACOT8	4
ACOT9	7
ACOX1	4
ACOX2	0
ACOX3	2
ACOXL	2
ACP1	2
ACP2	0
ACP5	5
ACP6	3
ACPP	0
ACPT	0
ACR	0
ACRBP	2
ACRC	0
ACRV1	0
ACSBG1	0
ACSBG2	0
ACSF2	3
ACSF3	6
ACSL1	14
ACSL3	6
ACSL4	1
ACSL5	5
ACSL6	0
ACSM1	1
ACSM2A	1
ACSM2B	0
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	5
ACSS2	2
ACSS3	2
ACTA1	6
ACTA2	3
ACTA2_AS1	0
ACTB	76
ACTBL2	0
ACTC1	0
ACTG1	116
ACTG1P17	0
ACTG1P20	0
ACTG1P4	1
ACTG2	0
ACTL10	0
ACTL6A	7
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	13
ACTN1_AS1	0
ACTN2	1
ACTN3	3
ACTN4	97
ACTR10	0
ACTR1A	1
ACTR1B	2
ACTR2	16
ACTR3	9
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	0
ACTR5	2
ACTR6	2
ACTR8	3
ACTRT1	0
ACTRT2	7
ACTRT3	0
ACVR1	1
ACVR1B	9
ACVR1C	388
ACVR2A	6
ACVR2B	0
ACVR2B_AS1	0
ACVRL1	0
ACY1	0
ACY3	0
ACYP1	3
ACYP2	1
ADA	11
ADAD1	0
ADAD2	0
ADAL	1
ADAM10	5
ADAM11	0
ADAM12	0
ADAM15	5
ADAM17	0
ADAM18	0
ADAM19	0
ADAM1A	0
ADAM2	0
ADAM20	0
ADAM20P1	0
ADAM21	0
ADAM21P1	1
ADAM22	2
ADAM23	6
ADAM28	3
ADAM29	1
ADAM30	0
ADAM32	0
ADAM33	1
ADAM3A	1
ADAM5	0
ADAM6	0
ADAM7	1
ADAM8	1
ADAM9	8
ADAMDEC1	0
ADAMTS1	0
ADAMTS10	2
ADAMTS12	0
ADAMTS13	0
ADAMTS14	0
ADAMTS15	1
ADAMTS16	1
ADAMTS17	3
ADAMTS18	70
ADAMTS19	0
ADAMTS19_AS1	0
ADAMTS2	4
ADAMTS20	0
ADAMTS3	1
