	gene_id_NP73_R1_
A1BG	0
A1BG_AS1	0
A1CF	0
A2M	1
A2M_AS1	0
A2ML1	4
A2MP1	0
A3GALT2	0
A4GALT	0
A4GNT	0
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	0
AAGAB	0
AAK1	5
AAMDC	0
AAMP	2
AANAT	1
AAR2	2
AARD	0
AARS	2
AARS2	4
AARSD1	0
AASDH	0
AASDHPPT	0
AASS	1
AATBC	0
AATF	11
AATK	1
AATK_AS1	0
ABALON	1
ABAT	2
ABCA1	4
ABCA10	0
ABCA11P	0
ABCA12	0
ABCA13	2
ABCA17P	0
ABCA2	11
ABCA3	3
ABCA4	0
ABCA5	0
ABCA6	0
ABCA7	15
ABCA8	1
ABCA9	0
ABCA9_AS1	0
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	1
ABCB5	0
ABCB6	1
ABCB7	0
ABCB8	1
ABCB9	0
ABCC1	1
ABCC10	1
ABCC11	2
ABCC12	1
ABCC13	0
ABCC2	0
ABCC3	0
ABCC4	3
ABCC5	4
ABCC5_AS1	0
ABCC6	2
ABCC6P1	0
ABCC6P2	0
ABCC8	1
ABCC9	6
ABCD1	8
ABCD2	7
ABCD3	1
ABCD4	2
ABCE1	0
ABCF1	4
ABCF2	0
ABCF3	8
ABCG1	4
ABCG2	1
ABCG4	2
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	0
ABHD11	0
ABHD11_AS1	1
ABHD12	7
ABHD12B	0
ABHD13	0
ABHD14A	0
ABHD14A_ACY1	0
ABHD14B	0
ABHD15	3
ABHD16A	0
ABHD16B	0
ABHD17A	0
ABHD17B	8
ABHD17C	3
ABHD2	1
ABHD3	2
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	1
ABI1	0
ABI2	1
ABI3	30
ABI3BP	0
ABL1	12
ABL2	2
ABLIM1	4
ABLIM2	2
ABLIM3	41
ABO	0
ABR	20
ABRA	1
ABRACL	0
ABT1	1
ABTB1	5
ABTB2	2
ACAA1	3
ACAA2	1
ACACA	4
ACACB	1
ACAD10	6
ACAD11	0
ACAD8	0
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	0
ACADVL	12
ACAN	41
ACAP1	0
ACAP2	0
ACAP3	5
ACAT1	0
ACAT2	0
ACBD3	13
ACBD4	1
ACBD5	0
ACBD6	2
ACBD7	0
ACCS	2
ACCSL	0
ACD	0
ACE	5
ACE2	0
ACER1	0
ACER2	14
ACER3	0
ACHE	1
ACIN1	27
ACKR1	0
ACKR2	0
ACKR3	0
ACKR4	0
ACLY	1
ACMSD	0
ACO1	0
ACO2	1
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	0
ACOT2	7
ACOT4	0
ACOT6	0
ACOT7	1
ACOT8	1
ACOT9	3
ACOX1	0
ACOX2	2
ACOX3	4
ACOXL	23
ACP1	2
ACP2	0
ACP5	0
ACP6	1
ACPP	0
ACPT	0
ACR	0
ACRBP	0
ACRC	0
ACRV1	0
ACSBG1	0
ACSBG2	2
ACSF2	0
ACSF3	0
ACSL1	15
ACSL3	0
ACSL4	1
ACSL5	0
ACSL6	1
ACSM1	1
ACSM2A	0
ACSM2B	0
ACSM3	2
ACSM4	0
ACSM5	0
ACSM6	0
ACSS1	4
ACSS2	0
ACSS3	0
ACTA1	7
ACTA2	1
ACTA2_AS1	0
ACTB	102
ACTBL2	0
ACTC1	1
ACTG1	62
ACTG1P17	2
ACTG1P20	0
ACTG1P4	0
ACTG2	0
ACTL10	0
ACTL6A	0
ACTL6B	1
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	13
ACTN1_AS1	0
ACTN2	5
ACTN3	1
ACTN4	14
ACTR10	0
ACTR1A	1
ACTR1B	1
ACTR2	0
ACTR3	1
ACTR3B	0
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	1
ACTR5	0
ACTR6	0
ACTR8	1
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	0
ACVR1B	6
ACVR1C	40
ACVR2A	4
ACVR2B	3
ACVR2B_AS1	0
ACVRL1	0
ACY1	0
ACY3	0
ACYP1	108
ACYP2	0
ADA	12
ADAD1	1
ADAD2	20
ADAL	0
ADAM10	3
ADAM11	17
ADAM12	0
ADAM15	0
ADAM17	2
ADAM18	0
ADAM19	5
ADAM1A	1
ADAM2	0
ADAM20	1
ADAM20P1	0
ADAM21	0
ADAM21P1	0
ADAM22	3
ADAM23	5
ADAM28	0
ADAM29	0
ADAM30	1
ADAM32	0
ADAM33	0
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	2
ADAM8	10
ADAM9	0
ADAMDEC1	0
ADAMTS1	12
ADAMTS10	0
ADAMTS12	1
ADAMTS13	1
ADAMTS14	20
ADAMTS15	4
ADAMTS16	4
ADAMTS17	1
ADAMTS18	0
ADAMTS19	1
ADAMTS19_AS1	0
ADAMTS2	3
ADAMTS20	1
ADAMTS3	2
ADAMTS4	3
ADAMTS5	0
ADAMTS6	0
ADAMTS7	0
ADAMTS7P1	0
ADAMTS8	0
ADAMTS9	1
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	5
ADAMTSL2	1
ADAMTSL3	1
ADAMTSL4	4
ADAMTSL4_AS1	0
ADAMTSL5	0
ADAP1	3
ADAP2	0
ADAR	16
ADARB1	0
ADARB2	3
ADARB2_AS1	0
ADAT1	2
ADAT2	0
ADAT3	0
ADCK1	0
ADCK2	9
ADCK3	5
ADCK4	0
ADCK5	10
ADCY1	2
ADCY10	0
ADCY10P1	0
ADCY2	1
ADCY3	2
ADCY4	3
ADCY5	13
ADCY6	8
ADCY7	5
ADCY8	17
ADCY9	2
ADCYAP1	0
ADCYAP1R1	0
ADD1	0
ADD2	2
ADD3	2
ADD3_AS1	0
ADGB	1
ADGRA1	3
ADGRA1_AS1	7
ADGRA2	3
ADGRA3	5
ADGRB1	1
ADGRB2	4
ADGRB3	1
ADGRD1	2
ADGRE1	0
ADGRE2	1
ADGRE3	0
ADGRE4P	0
ADGRE5	0
ADGRF1	0
ADGRF2	0
ADGRF3	1
ADGRF4	0
ADGRF5	0
ADGRG1	2
ADGRG2	3
ADGRG3	5
ADGRG4	0
ADGRG5	0
ADGRG6	6
ADGRG7	1
ADGRL1	3
ADGRL2	0
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	7
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	0
ADH5	0
ADH6	0
ADH7	0
ADHFE1	0
ADI1	0
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	1
ADIPOR2	0
ADIRF	0
ADK	1
ADM	4
ADM2	6
ADM5	1
ADNP	0
ADNP_AS1	5
ADNP2	0
ADO	0
ADORA1	3
ADORA2A	0
ADORA2A_AS1	0
ADORA2B	0
ADORA3	0
ADPGK	0
ADPGK_AS1	1
ADPRH	25
ADPRHL1	7
ADPRHL2	0
ADPRM	0
ADRA1A	1
ADRA1B	1
ADRA1D	0
ADRA2A	0
ADRA2B	3
ADRA2C	0
ADRB1	2
ADRB2	1
ADRB3	1
ADRBK1	8
ADRBK2	0
ADRM1	15
ADSL	0
ADSS	2
ADSSL1	1
ADTRP	0
AEBP1	2
AEBP2	8
AEN	0
AES	1
AFAP1	3
AFAP1_AS1	0
AFAP1L1	6
AFAP1L2	2
AFF1	2
AFF2	1
AFF3	1
AFF4	9
AFG3L1P	0
AFG3L2	1
AFM	0
AFMID	0
AFP	0
AFTPH	2
AGA	0
AGAP1	11
AGAP1_IT1	0
AGAP11	0
AGAP2	4
AGAP2_AS1	0
AGAP3	5
AGAP4	0
AGAP5	0
AGAP6	0
AGAP7P	0
AGAP9	0
AGBL1	0
AGBL1_AS1	0
AGBL2	0
AGBL3	0
AGBL4	0
AGBL4_IT1	0
AGBL5	4
AGBL5_AS1	0
AGER	3
AGFG1	0
AGFG2	1
AGGF1	3
AGK	4
AGL	0
AGMAT	5
AGMO	0
AGO1	2
AGO2	1
AGO3	1
AGO4	0
AGPAT1	4
AGPAT2	0
AGPAT3	1
AGPAT4	0
AGPAT4_IT1	0
AGPAT5	0
AGPS	44
AGR2	0
AGR3	0
AGRN	14
AGRP	0
AGT	8
AGTPBP1	0
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	1
AGXT2	0
AHCTF1	0
AHCTF1P1	1
AHCY	1
AHCYL1	3
AHCYL2	0
AHDC1	2
AHI1	9
AHNAK	9
AHNAK2	3
AHR	0
AHRR	77
AHSA1	1
AHSA2	0
AHSG	1
AHSP	0
AICDA	0
AIDA	0
AIF1	2
AIF1L	0
AIFM1	0
AIFM2	2
AIFM3	2
AIG1	0
AIM1	2
AIM1L	9
AIM2	0
AIMP1	1
AIMP2	0
AIP	0
AIPL1	1
AIRE	2
AIRN	1
AJAP1	1
AJUBA	0
AK1	1
AK2	0
AK3	2
AK4	0
AK5	3
AK6	1
AK7	1
AK8	2
AK9	0
AKAP1	4
AKAP10	0
AKAP11	0
AKAP12	0
AKAP13	10
AKAP14	0
AKAP17A	9
AKAP2	0
AKAP3	4
AKAP4	1
AKAP5	0
AKAP6	0
AKAP7	0
AKAP8	2
AKAP8L	4
AKAP9	3
AKIP1	0
AKIRIN1	0
AKIRIN2	0
AKNA	10
AKNAD1	3
AKR1A1	1
AKR1B1	1
AKR1B10	2
AKR1B15	0
AKR1C1	0
AKR1C2	1
AKR1C3	0
AKR1C4	0
AKR1C6P	0
AKR1C8P	0
AKR1D1	0
AKR1E2	20
AKR7A2	2
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	0
AKT1S1	5
AKT2	0
AKT3	2
AKTIP	0
ALAD	2
ALAS1	0
ALAS2	0
ALB	0
ALCAM	0
ALDH16A1	2
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	7
ALDH1B1	1
ALDH1L1	0
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	0
ALDH2	0
ALDH3A1	0
ALDH3A2	0
ALDH3B1	0
ALDH3B2	59
ALDH4A1	0
ALDH5A1	0
ALDH6A1	0
ALDH7A1	1
ALDH8A1	0
ALDH9A1	0
ALDOA	7
ALDOB	0
ALDOC	0
ALG1	1
ALG10	0
ALG10B	1
ALG11	0
ALG12	0
ALG13	0
ALG14	0
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	0
ALG3	0
ALG5	0
ALG6	0
ALG8	0
ALG9	0
ALK	8
ALKBH1	0
ALKBH2	4
ALKBH3	0
ALKBH3_AS1	4
ALKBH4	0
ALKBH5	28
ALKBH6	0
ALKBH7	0
ALKBH8	2
ALLC	0
ALMS1	1
ALMS1_IT1	0
ALMS1P	0
ALOX12	0
ALOX12_AS1	0
ALOX12B	0
ALOX12P2	0
ALOX15	8
ALOX15B	1
ALOX15P1	0
ALOX5	2
ALOX5AP	1
ALOXE3	0
ALPI	6
ALPK1	2
ALPK2	1
ALPK3	5
ALPL	5
ALPP	0
ALPPL2	1
ALS2	2
ALS2CL	6
ALS2CR11	0
ALS2CR12	0
ALX1	0
ALX3	0
ALX4	2
ALYREF	1
AMACR	0
AMBN	3
AMBP	4
AMBRA1	5
AMD1	0
AMDHD1	0
AMDHD2	0
AMELX	0
AMELY	0
AMER1	6
AMER2	1
AMER3	5
AMFR	0
AMH	0
AMHR2	0
AMICA1	3
AMIGO1	152
AMIGO2	0
AMIGO3	0
AMMECR1	0
AMMECR1L	0
AMN	1
AMN1	0
AMOT	3
AMOTL1	0
AMOTL2	2
AMPD1	0
AMPD2	0
AMPD3	2
AMPH	0
AMT	0
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	0
AMZ2	0
AMZ2P1	0
ANAPC1	0
ANAPC10	0
ANAPC11	1
ANAPC13	0
ANAPC15	0
ANAPC16	86
ANAPC1P1	0
ANAPC2	0
ANAPC4	3
ANAPC5	0
ANAPC7	0
ANG	0
ANGEL1	2
ANGEL2	1
ANGPT1	2
ANGPT2	2
ANGPT4	0
ANGPTL1	0
ANGPTL2	6
ANGPTL3	1
ANGPTL4	1
ANGPTL5	0
ANGPTL6	0
ANGPTL7	0
ANHX	0
ANK1	3
ANK2	1
ANK3	2
ANKAR	0
ANKDD1A	5
ANKDD1B	0
ANKEF1	5
ANKFN1	0
ANKFY1	2
ANKH	0
ANKHD1	0
ANKHD1_EIF4EBP3	0
ANKIB1	0
ANKK1	0
ANKLE1	0
ANKLE2	1
ANKMY1	0
ANKMY2	2
ANKRA2	0
ANKRD1	0
ANKRD10	1
ANKRD11	15
ANKRD12	1
ANKRD13A	0
ANKRD13B	0
ANKRD13C	0
ANKRD13D	0
ANKRD16	4
ANKRD17	8
ANKRD18A	0
ANKRD18B	0
ANKRD18DP	0
ANKRD19P	0
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	0
ANKRD20A19P	1
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	0
ANKRD20A8P	0
ANKRD20A9P	0
ANKRD22	0
ANKRD23	0
ANKRD24	0
ANKRD26	7
ANKRD26P1	2
ANKRD26P3	0
ANKRD27	1
ANKRD28	0
ANKRD29	0
ANKRD30A	0
ANKRD30B	1
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	1
ANKRD33B	7
ANKRD34A	5
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	3
ANKRD36	0
ANKRD36B	0
ANKRD36BP1	0
ANKRD36BP2	1
ANKRD36C	2
ANKRD37	0
ANKRD39	0
ANKRD40	2
ANKRD42	3
ANKRD44	0
ANKRD44_IT1	0
ANKRD45	0
ANKRD46	0
ANKRD49	0
ANKRD50	4
ANKRD52	1
ANKRD53	8
ANKRD54	0
ANKRD55	0
ANKRD6	2
ANKRD60	1
ANKRD61	0
ANKRD62	0
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	0
ANKRD66	0
ANKRD7	0
ANKRD9	0
ANKS1A	1
ANKS1B	0
ANKS3	1
ANKS4B	0
ANKS6	0
ANKUB1	0
ANKZF1	3
ANLN	1
ANO1	1
ANO1_AS2	0
ANO10	1
ANO2	0
ANO3	1
ANO4	2
ANO5	9
ANO6	1
ANO7	5
ANO8	3
ANO9	0
ANOS1	0
ANP32A	5
ANP32A_IT1	0
ANP32AP1	0
ANP32B	3
ANP32C	0
ANP32D	0
ANP32E	11
ANPEP	2
ANTXR1	1
ANTXR2	3
ANTXRL	0
ANTXRLP1	0
ANXA1	10
ANXA10	0
ANXA11	10
ANXA13	1
ANXA2	3
ANXA2P1	1
ANXA2P2	0
ANXA2P3	0
ANXA2R	0
ANXA3	0
ANXA4	0
ANXA5	0
ANXA6	9
ANXA7	27
ANXA8	0
ANXA8L1	3
ANXA9	0
AOAH	0
AOAH_IT1	0
AOC1	4
AOC2	1
AOC3	2
AOC4P	0
AOX1	3
AOX2P	0
AP1AR	0
AP1B1	2
AP1B1P1	0
AP1G1	3
AP1G2	1
AP1M1	9
AP1M2	0
AP1S1	0
AP1S2	0
AP1S3	1
AP2A1	0
AP2A2	2
AP2B1	0
AP2M1	0
AP2S1	0
AP3B1	8
AP3B2	1
AP3D1	19
AP3M1	0
AP3M2	0
AP3S1	0
AP3S2	0
AP4B1	0
AP4B1_AS1	0
AP4E1	0
AP4M1	0
AP4S1	0
AP5B1	4
AP5M1	0
AP5S1	0
AP5Z1	4
APAF1	0
APBA1	7
APBA2	1
APBA3	0
APBB1	0
APBB1IP	12
APBB2	0
APBB3	2
APC	6
APC2	6
APCDD1	0
APCDD1L	1
APCDD1L_AS1	1
APCS	0
APEH	0
APELA	0
APEX1	1
APEX2	0
APH1A	2
APH1B	1
API5	0
APIP	0
APITD1	0
APITD1_CORT	0
APLF	0
APLN	0
APLNR	8
APLP1	2
APLP2	5
APMAP	0
APOA1	0
APOA1_AS	0
APOA1BP	0
APOA2	0
APOA4	18
APOA5	0
APOB	1
APOBEC1	0
APOBEC2	0
APOBEC3A	0
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	0
APOBEC3D	0
APOBEC3F	0
APOBEC3G	0
APOBEC3H	0
APOBEC4	0
APOBR	35
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	1
APOD	0
APOE	0
APOF	0
APOH	0
APOL1	2
APOL2	6
APOL3	1
APOL4	0
APOL5	0
APOL6	4
APOLD1	0
APOM	0
APOO	0
APOOL	0
APOOP5	0
APOPT1	2
APP	4
APPBP2	0
APPL1	0
APPL2	1
APRT	0
APTR	0
APTX	21
AQP1	2
AQP10	0
AQP11	1
AQP12A	0
AQP12B	0
AQP2	0
AQP3	2
AQP4	1
AQP4_AS1	0
AQP5	0
AQP6	0
AQP7	1
AQP7P1	0
AQP7P3	0
AQP8	2
AQP9	5
AQR	0
AR	0
ARAF	5
ARAP1	17
ARAP2	0
ARAP3	4
ARC	2
ARCN1	3
AREG	0
AREL1	0
ARF1	3
ARF3	4
ARF4	3
ARF5	0
ARF6	1
ARFGAP1	7
ARFGAP2	2
ARFGAP3	41
ARFGEF1	4
ARFGEF2	1
ARFGEF3	1
ARFIP1	0
ARFIP2	4
ARFRP1	4
ARG1	0
ARG2	0
ARGFX	0
ARGFXP2	0
ARGLU1	8
ARHGAP1	2
ARHGAP10	3
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	0
ARHGAP15	0
ARHGAP17	5
ARHGAP18	1
ARHGAP19	2
ARHGAP19_SLIT1	0
ARHGAP20	1
ARHGAP21	2
ARHGAP22	1
ARHGAP23	2
ARHGAP24	0
ARHGAP25	3
ARHGAP26	2
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	23
ARHGAP28	7
ARHGAP29	2
ARHGAP30	16
ARHGAP31	1
ARHGAP31_AS1	0
ARHGAP32	2
ARHGAP33	3
ARHGAP35	1
ARHGAP36	1
ARHGAP39	12
ARHGAP4	6
ARHGAP40	4
ARHGAP42	0
ARHGAP44	4
ARHGAP5	1
ARHGAP5_AS1	3
ARHGAP6	7
ARHGAP8	0
ARHGAP9	12
ARHGDIA	4
ARHGDIB	9
ARHGDIG	1
ARHGEF1	7
ARHGEF10	11
ARHGEF10L	21
ARHGEF11	7
ARHGEF12	4
ARHGEF15	4
ARHGEF16	0
ARHGEF17	4
ARHGEF18	1
ARHGEF19	1
ARHGEF2	5
ARHGEF25	0
ARHGEF26	0
ARHGEF26_AS1	0
ARHGEF28	1
ARHGEF3	3
ARHGEF3_AS1	0
ARHGEF33	0
ARHGEF34P	0
ARHGEF35	0
ARHGEF37	0
ARHGEF38	0
ARHGEF38_IT1	0
ARHGEF39	0
ARHGEF4	1
ARHGEF40	0
ARHGEF5	0
ARHGEF6	0
ARHGEF7	7
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	1
ARHGEF9_IT1	0
ARID1A	8
ARID1B	5
ARID2	0
ARID3A	0
ARID3B	3
ARID3C	1
ARID4A	15
ARID4B	0
ARID5A	1
ARID5B	7
ARIH1	11
ARIH2	0
ARIH2OS	2
ARL1	0
ARL10	1
ARL11	0
ARL13A	0
ARL13B	0
ARL14	0
ARL14EP	0
ARL14EPL	0
ARL15	1
ARL16	0
ARL17A	0
ARL17B	0
ARL2	0
ARL2_SNX15	0
ARL2BP	0
ARL3	0
ARL4A	0
ARL4C	8
ARL4D	1
ARL5A	0
ARL5B	0
ARL5C	0
ARL6	0
ARL6IP1	0
ARL6IP4	1
ARL6IP5	0
ARL6IP6	1
ARL8A	0
ARL8B	0
ARL9	0
ARMC1	1
ARMC10	0
ARMC12	0
ARMC2	0
ARMC2_AS1	0
ARMC3	6
ARMC4	2
ARMC5	0
ARMC6	1
ARMC7	0
