	gene_id_WB25_
A1BG	16
A1BG_AS1	2
A1CF	3
A2M	146
A2M_AS1	39
A2ML1	3
A2MP1	6
A3GALT2	3
A4GALT	6
A4GNT	1
AA06	0
AAAS	23
AACS	29
AACSP1	2
AADAC	1
AADACL2	0
AADACL2_AS1	0
AADACL3	1
AADACL4	0
AADACP1	0
AADAT	3
AAED1	15
AAGAB	118
AAK1	416
AAMDC	9
AAMP	58
AANAT	0
AAR2	42
AARD	0
AARS	80
AARS2	52
AARSD1	0
AASDH	13
AASDHPPT	23
AASS	7
AATBC	39
AATF	138
AATK	78
AATK_AS1	1
ABALON	22
ABAT	63
ABCA1	261
ABCA10	8
ABCA11P	9
ABCA12	7
ABCA13	11
ABCA17P	5
ABCA2	242
ABCA3	32
ABCA4	4
ABCA5	72
ABCA6	4
ABCA7	310
ABCA8	1
ABCA9	7
ABCA9_AS1	0
ABCB1	64
ABCB10	78
ABCB11	2
ABCB4	10
ABCB5	3
ABCB6	16
ABCB7	60
ABCB8	54
ABCB9	5
ABCC1	294
ABCC10	93
ABCC11	4
ABCC12	7
ABCC13	5
ABCC2	15
ABCC3	518
ABCC4	312
ABCC5	63
ABCC5_AS1	0
ABCC6	14
ABCC6P1	3
ABCC6P2	0
ABCC8	1
ABCC9	1
ABCD1	54
ABCD2	13
ABCD3	33
ABCD4	68
ABCE1	64
ABCF1	150
ABCF2	22
ABCF3	91
ABCG1	110
ABCG2	11
ABCG4	3
ABCG5	1
ABCG8	4
ABHD1	2
ABHD10	14
ABHD11	6
ABHD11_AS1	1
ABHD12	26
ABHD12B	4
ABHD13	104
ABHD14A	7
ABHD14A_ACY1	0
ABHD14B	63
ABHD15	26
ABHD16A	122
ABHD16B	11
ABHD17A	212
ABHD17B	31
ABHD17C	2
ABHD2	317
ABHD3	43
ABHD4	49
ABHD5	56
ABHD6	1
ABHD8	22
ABI1	295
ABI2	96
ABI3	25
ABI3BP	10
ABL1	97
ABL2	64
ABLIM1	330
ABLIM2	3
ABLIM3	247
ABO	11
ABR	200
ABRA	3
ABRACL	6
ABT1	39
ABTB1	379
ABTB2	13
ACAA1	108
ACAA2	17
ACACA	87
ACACB	57
ACAD10	45
ACAD11	5
ACAD8	37
ACAD9	38
ACADL	1
ACADM	27
ACADS	36
ACADSB	9
ACADVL	407
ACAN	0
ACAP1	371
ACAP2	230
ACAP3	131
ACAT1	20
ACAT2	13
ACBD3	72
ACBD4	25
ACBD5	50
ACBD6	36
ACBD7	3
ACCS	69
ACCSL	4
ACD	13
ACE	4
ACE2	3
ACER1	1
ACER2	58
ACER3	47
ACHE	16
ACIN1	376
ACKR1	7
ACKR2	2
ACKR3	1
ACKR4	5
ACLY	104
ACMSD	0
ACO1	22
ACO2	128
ACOT1	0
ACOT11	9
ACOT12	4
ACOT13	61
ACOT2	18
ACOT4	0
ACOT6	1
ACOT7	57
ACOT8	20
ACOT9	39
ACOX1	44
ACOX2	1
ACOX3	9
ACOXL	4
ACP1	106
ACP2	23
ACP5	79
ACP6	11
ACPP	16
ACPT	10
ACR	2
ACRBP	231
ACRC	16
ACRV1	1
ACSBG1	12
ACSBG2	6
ACSF2	22
ACSF3	77
ACSL1	457
ACSL3	109
ACSL4	113
ACSL5	68
ACSL6	26
ACSM1	3
ACSM2A	4
ACSM2B	2
ACSM3	4
ACSM4	2
ACSM5	0
ACSM6	7
ACSS1	66
ACSS2	32
ACSS3	0
ACTA1	0
ACTA2	11
ACTA2_AS1	7
ACTB	15112
ACTBL2	4
ACTC1	1
ACTG1	2547
ACTG1P17	0
ACTG1P20	20
ACTG1P4	2
ACTG2	2
ACTL10	1
ACTL6A	9
ACTL6B	0
ACTL7A	8
ACTL7B	2
ACTL8	0
ACTL9	2
ACTN1	758
ACTN1_AS1	0
ACTN2	1
ACTN3	2
ACTN4	253
ACTR10	62
ACTR1A	91
ACTR1B	126
ACTR2	337
ACTR3	601
ACTR3B	36
ACTR3BP2	0
ACTR3BP5	1
ACTR3C	3
ACTR5	16
ACTR6	14
ACTR8	33
ACTRT1	0
ACTRT2	0
ACTRT3	0
ACVR1	60
ACVR1B	78
ACVR1C	14
ACVR2A	88
ACVR2B	26
ACVR2B_AS1	1
ACVRL1	1
ACY1	0
ACY3	3
ACYP1	7
ACYP2	2
ADA	50
ADAD1	4
ADAD2	1
ADAL	12
ADAM10	233
ADAM11	3
ADAM12	5
ADAM15	73
ADAM17	207
ADAM18	1
ADAM19	275
ADAM1A	12
ADAM2	2
ADAM20	2
ADAM20P1	4
ADAM21	0
ADAM21P1	1
ADAM22	6
ADAM23	5
ADAM28	118
ADAM29	0
ADAM30	1
ADAM32	7
ADAM33	3
ADAM3A	1
ADAM5	1
ADAM6	0
ADAM7	2
ADAM8	401
ADAM9	242
ADAMDEC1	2
ADAMTS1	1
ADAMTS10	61
ADAMTS12	2
ADAMTS13	12
ADAMTS14	2
ADAMTS15	5
ADAMTS16	0
ADAMTS17	15
ADAMTS18	3
ADAMTS19	2
ADAMTS19_AS1	0
ADAMTS2	13
ADAMTS20	4
ADAMTS3	4
ADAMTS4	1
ADAMTS5	1
ADAMTS6	28
ADAMTS7	1
ADAMTS7P1	4
ADAMTS8	1
ADAMTS9	4
ADAMTS9_AS1	1
ADAMTS9_AS2	0
ADAMTSL1	4
ADAMTSL2	4
ADAMTSL3	4
ADAMTSL4	76
ADAMTSL4_AS1	25
ADAMTSL5	8
ADAP1	94
ADAP2	38
ADAR	861
ADARB1	87
ADARB2	16
ADARB2_AS1	0
ADAT1	36
ADAT2	43
ADAT3	12
ADCK1	6
ADCK2	43
ADCK3	85
ADCK4	27
ADCK5	13
ADCY1	5
ADCY10	4
ADCY10P1	9
ADCY2	3
ADCY3	46
ADCY4	27
ADCY5	6
ADCY6	21
ADCY7	482
ADCY8	1
ADCY9	42
ADCYAP1	0
ADCYAP1R1	8
ADD1	374
ADD2	6
ADD3	324
ADD3_AS1	6
ADGB	1
ADGRA1	1
ADGRA1_AS1	1
ADGRA2	17
ADGRA3	3
ADGRB1	9
ADGRB2	10
ADGRB3	2
ADGRD1	4
ADGRE1	36
ADGRE2	174
ADGRE3	6
ADGRE4P	15
ADGRE5	1171
ADGRF1	1
ADGRF2	3
ADGRF3	14
ADGRF4	1
ADGRF5	4
ADGRG1	111
ADGRG2	2
ADGRG3	59
ADGRG4	7
ADGRG5	31
ADGRG6	7
ADGRG7	1
ADGRL1	67
ADGRL2	1
ADGRL3	0
ADGRL3_AS1	1
ADGRL4	1
ADGRV1	8
ADH1A	0
ADH1B	2
ADH1C	0
ADH4	1
ADH5	40
ADH6	2
ADH7	0
ADHFE1	19
ADI1	95
ADIG	0
ADIPOQ	1
ADIPOQ_AS1	0
ADIPOR1	2100
ADIPOR2	109
ADIRF	4
ADK	51
ADM	70
ADM2	11
ADM5	5
ADNP	161
ADNP_AS1	14
ADNP2	152
ADO	26
ADORA1	0
ADORA2A	28
ADORA2A_AS1	80
ADORA2B	15
ADORA3	0
ADPGK	162
ADPGK_AS1	9
ADPRH	9
ADPRHL1	1
ADPRHL2	37
ADPRM	23
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	14
ADRA2B	4
ADRA2C	0
ADRB1	5
ADRB2	18
ADRB3	0
ADRBK1	583
ADRBK2	98
ADRM1	75
ADSL	60
ADSS	71
ADSSL1	4
ADTRP	7
AEBP1	18
AEBP2	99
AEN	126
AES	218
AFAP1	41
AFAP1_AS1	3
AFAP1L1	1
AFAP1L2	16
AFF1	280
AFF2	9
AFF3	122
AFF4	537
AFG3L1P	27
AFG3L2	72
AFM	0
AFMID	10
AFP	0
AFTPH	121
AGA	21
AGAP1	17
AGAP1_IT1	0
AGAP11	2
AGAP2	66
AGAP2_AS1	0
AGAP3	41
AGAP4	15
AGAP5	27
AGAP6	23
AGAP7P	1
AGAP9	22
AGBL1	2
AGBL1_AS1	0
AGBL2	2
AGBL3	8
AGBL4	5
AGBL4_IT1	0
AGBL5	55
AGBL5_AS1	0
AGER	43
AGFG1	509
AGFG2	24
AGGF1	72
AGK	42
AGL	51
AGMAT	6
AGMO	2
AGO1	231
AGO2	227
AGO3	74
AGO4	119
AGPAT1	152
AGPAT2	25
AGPAT3	167
AGPAT4	36
AGPAT4_IT1	1
AGPAT5	30
AGPS	58
AGR2	0
AGR3	0
AGRN	26
AGRP	2
AGT	1
AGTPBP1	252
AGTR1	1
AGTR2	0
AGTRAP	37
AGXT	2
AGXT2	2
AHCTF1	460
AHCTF1P1	0
AHCY	27
AHCYL1	58
AHCYL2	30
AHDC1	59
AHI1	51
AHNAK	9791
AHNAK2	12
AHR	648
AHRR	7
AHSA1	27
AHSA2	159
AHSG	0
AHSP	19
AICDA	0
AIDA	69
AIF1	77
AIF1L	7
AIFM1	29
AIFM2	8
AIFM3	16
AIG1	61
AIM1	457
AIM1L	6
AIM2	7
AIMP1	64
AIMP2	2
AIP	68
AIPL1	1
AIRE	4
AIRN	17
AJAP1	0
AJUBA	4
AK1	40
AK2	69
AK3	51
AK4	2
AK5	14
AK6	4
AK7	2
AK8	3
AK9	28
AKAP1	32
AKAP10	50
AKAP11	84
AKAP12	7
AKAP13	1506
AKAP14	8
AKAP17A	341
AKAP2	9
AKAP3	5
AKAP4	2
AKAP5	17
AKAP6	20
AKAP7	85
AKAP8	218
AKAP8L	171
AKAP9	294
AKIP1	16
AKIRIN1	168
AKIRIN2	195
AKNA	1079
AKNAD1	0
AKR1A1	16
AKR1B1	39
AKR1B10	0
AKR1B15	3
AKR1C1	4
AKR1C2	0
AKR1C3	3
AKR1C4	4
AKR1C6P	3
AKR1C8P	0
AKR1D1	0
AKR1E2	24
AKR7A2	48
AKR7A2P1	7
AKR7A3	3
AKR7L	5
AKT1	182
AKT1S1	30
AKT2	380
AKT3	116
AKTIP	29
ALAD	31
ALAS1	54
ALAS2	7792
ALB	3
ALCAM	52
ALDH16A1	132
ALDH18A1	27
ALDH1A1	8
ALDH1A2	2
ALDH1A3	2
ALDH1B1	2
ALDH1L1	4
ALDH1L1_AS1	1
ALDH1L1_AS2	1
ALDH1L2	3
ALDH2	83
ALDH3A1	0
ALDH3A2	23
ALDH3B1	45
ALDH3B2	3
ALDH4A1	12
ALDH5A1	40
ALDH6A1	11
ALDH7A1	7
ALDH8A1	6
ALDH9A1	56
ALDOA	1076
ALDOB	4
ALDOC	13
ALG1	14
ALG10	24
ALG10B	29
ALG11	10
ALG12	41
ALG13	65
ALG14	2
ALG1L	0
ALG1L2	0
ALG1L9P	8
ALG2	32
ALG3	11
ALG5	12
ALG6	14
ALG8	11
ALG9	40
ALK	13
ALKBH1	12
ALKBH2	5
ALKBH3	17
ALKBH3_AS1	0
ALKBH4	19
ALKBH5	248
ALKBH6	14
ALKBH7	47
ALKBH8	13
ALLC	1
ALMS1	141
ALMS1_IT1	4
ALMS1P	1
ALOX12	105
ALOX12_AS1	4
ALOX12B	0
ALOX12P2	7
ALOX15	2
ALOX15B	2
ALOX15P1	1
ALOX5	258
ALOX5AP	54
ALOXE3	1
ALPI	0
ALPK1	44
ALPK2	4
ALPK3	8
ALPL	42
ALPP	3
ALPPL2	0
ALS2	39
ALS2CL	24
ALS2CR11	3
ALS2CR12	149
ALX1	0
ALX3	1
ALX4	6
ALYREF	28
AMACR	0
AMBN	0
AMBP	1
AMBRA1	139
AMD1	269
AMDHD1	7
AMDHD2	102
AMELX	1
AMELY	0
AMER1	16
AMER2	4
AMER3	2
AMFR	807
AMH	3
AMHR2	2
AMICA1	97
AMIGO1	5
AMIGO2	25
AMIGO3	20
AMMECR1	25
AMMECR1L	74
AMN	7
AMN1	23
AMOT	7
AMOTL1	14
AMOTL2	0
AMPD1	2
AMPD2	315
AMPD3	55
AMPH	2
AMT	31
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	19
AMZ1	6
AMZ2	56
AMZ2P1	14
ANAPC1	83
ANAPC10	17
ANAPC11	23
ANAPC13	12
ANAPC15	15
ANAPC16	82
ANAPC1P1	1
ANAPC2	92
ANAPC4	46
ANAPC5	178
ANAPC7	39
ANG	0
ANGEL1	26
ANGEL2	63
ANGPT1	38
ANGPT2	6
ANGPT4	3
ANGPTL1	24
ANGPTL2	7
ANGPTL3	0
ANGPTL4	2
ANGPTL5	2
ANGPTL6	1
ANGPTL7	5
ANHX	2
ANK1	411
ANK2	12
ANK3	196
ANKAR	23
ANKDD1A	104
ANKDD1B	2
ANKEF1	5
ANKFN1	1
ANKFY1	110
ANKH	100
ANKHD1	19
ANKHD1_EIF4EBP3	1
ANKIB1	108
ANKK1	6
ANKLE1	10
ANKLE2	140
ANKMY1	49
ANKMY2	19
ANKRA2	40
ANKRD1	1
ANKRD10	225
ANKRD11	428
ANKRD12	548
ANKRD13A	197
ANKRD13B	3
ANKRD13C	133
ANKRD13D	153
ANKRD16	7
ANKRD17	235
ANKRD18A	8
ANKRD18B	1
ANKRD18DP	2
ANKRD19P	7
ANKRD2	1
ANKRD20A1	0
ANKRD20A11P	7
ANKRD20A12P	1
ANKRD20A19P	1
ANKRD20A2	0
