	gene_id_FLU_22_S38_
A1BG	23
A1BG_AS1	4
A1CF	6
A2M	4768
A2M_AS1	926
A2ML1	2
A2MP1	358
A3GALT2	13
A4GALT	2
A4GNT	0
AA06	0
AAAS	87
AACS	151
AACSP1	0
AADAC	0
AADACL2	1
AADACL2_AS1	1
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	1
AAED1	214
AAGAB	776
AAK1	3674
AAMDC	46
AAMP	487
AANAT	24
AAR2	320
AARD	0
AARS	686
AARS2	365
AARSD1	0
AASDH	365
AASDHPPT	638
AASS	86
AATBC	254
AATF	1083
AATK	196
AATK_AS1	0
ABALON	202
ABAT	417
ABCA1	4393
ABCA10	116
ABCA11P	69
ABCA12	8
ABCA13	460
ABCA17P	2
ABCA2	813
ABCA3	62
ABCA4	0
ABCA5	1327
ABCA6	57
ABCA7	1466
ABCA8	2
ABCA9	22
ABCA9_AS1	0
ABCB1	371
ABCB10	1025
ABCB11	6
ABCB4	48
ABCB5	8
ABCB6	137
ABCB7	655
ABCB8	130
ABCB9	18
ABCC1	930
ABCC10	319
ABCC11	1
ABCC12	0
ABCC13	315
ABCC2	146
ABCC3	551
ABCC4	1525
ABCC5	1036
ABCC5_AS1	2
ABCC6	64
ABCC6P1	3
ABCC6P2	0
ABCC8	0
ABCC9	2
ABCD1	113
ABCD2	1064
ABCD3	737
ABCD4	308
ABCE1	1382
ABCF1	717
ABCF2	335
ABCF3	470
ABCG1	611
ABCG2	308
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	14
ABHD10	492
ABHD11	58
ABHD11_AS1	0
ABHD12	196
ABHD12B	175
ABHD13	2004
ABHD14A	42
ABHD14A_ACY1	0
ABHD14B	127
ABHD15	462
ABHD16A	989
ABHD16B	45
ABHD17A	527
ABHD17B	462
ABHD17C	81
ABHD2	5218
ABHD3	1992
ABHD4	388
ABHD5	5078
ABHD6	169
ABHD8	54
ABI1	3952
ABI2	498
ABI3	292
ABI3BP	167
ABL1	293
ABL2	813
ABLIM1	1975
ABLIM2	8
ABLIM3	196
ABO	11
ABR	1055
ABRA	46
ABRACL	400
ABT1	564
ABTB1	1310
ABTB2	74
ACAA1	1046
ACAA2	730
ACACA	539
ACACB	273
ACAD10	336
ACAD11	38
ACAD8	321
ACAD9	482
ACADL	2
ACADM	524
ACADS	166
ACADSB	456
ACADVL	2465
ACAN	12
ACAP1	1906
ACAP2	10394
ACAP3	264
ACAT1	359
ACAT2	211
ACBD3	1159
ACBD4	31
ACBD5	861
ACBD6	385
ACBD7	4
ACCS	264
ACCSL	9
ACD	59
ACE	14
ACE2	0
ACER1	3
ACER2	56
ACER3	1086
