	gene_id_FLU_45_
A1BG	14
A1BG_AS1	12
A1CF	1
A2M	904
A2M_AS1	184
A2ML1	0
A2MP1	58
A3GALT2	14
A4GALT	2
A4GNT	0
AA06	0
AAAS	64
AACS	31
AACSP1	0
AADAC	0
AADACL2	0
AADACL2_AS1	1
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0
AAED1	58
AAGAB	298
AAK1	1856
AAMDC	20
AAMP	244
AANAT	38
AAR2	122
AARD	0
AARS	335
AARS2	174
AARSD1	0
AASDH	194
AASDHPPT	209
AASS	40
AATBC	144
AATF	527
AATK	734
AATK_AS1	1
ABALON	35
ABAT	192
ABCA1	1937
ABCA10	28
ABCA11P	47
ABCA12	2
ABCA13	115
ABCA17P	2
ABCA2	699
ABCA3	44
ABCA4	2
ABCA5	414
ABCA6	16
ABCA7	2454
ABCA8	0
ABCA9	13
ABCA9_AS1	0
ABCB1	191
ABCB10	417
ABCB11	0
ABCB4	40
ABCB5	7
ABCB6	59
ABCB7	245
ABCB8	78
ABCB9	15
ABCC1	627
ABCC10	207
ABCC11	4
ABCC12	0
ABCC13	38
ABCC2	90
ABCC3	124
ABCC4	870
ABCC5	567
ABCC5_AS1	5
ABCC6	70
ABCC6P1	2
ABCC6P2	0
ABCC8	0
ABCC9	2
ABCD1	138
ABCD2	340
ABCD3	261
ABCD4	189
ABCE1	497
ABCF1	447
ABCF2	275
ABCF3	315
ABCG1	344
ABCG2	144
ABCG4	0
ABCG5	0
ABCG8	1
ABHD1	21
ABHD10	178
ABHD11	40
ABHD11_AS1	3
ABHD12	78
ABHD12B	86
ABHD13	428
ABHD14A	18
ABHD14A_ACY1	0
ABHD14B	112
ABHD15	159
ABHD16A	382
ABHD16B	72
ABHD17A	169
ABHD17B	184
ABHD17C	3
ABHD2	3216
ABHD3	452
ABHD4	164
ABHD5	1101
ABHD6	54
ABHD8	17
ABI1	1195
ABI2	246
ABI3	184
ABI3BP	31
ABL1	208
ABL2	384
ABLIM1	1150
ABLIM2	6
ABLIM3	86
ABO	0
ABR	1211
ABRA	17
ABRACL	216
ABT1	193
ABTB1	1803
ABTB2	20
ACAA1	541
ACAA2	285
ACACA	310
ACACB	200
ACAD10	309
ACAD11	18
ACAD8	152
ACAD9	222
ACADL	0
ACADM	302
ACADS	41
ACADSB	212
ACADVL	921
ACAN	4
ACAP1	1213
ACAP2	3864
ACAP3	247
ACAT1	148
ACAT2	73
ACBD3	369
ACBD4	48
ACBD5	313
ACBD6	227
ACBD7	1
ACCS	33
ACCSL	4
ACD	48
ACE	30
ACE2	2
ACER1	4
ACER2	39
ACER3	401
ACHE	26
ACIN1	1849
ACKR1	3
ACKR2	0
ACKR3	11
ACKR4	30
ACLY	1142
ACMSD	2
ACO1	268
ACO2	282
ACOT1	2
ACOT11	9
ACOT12	0
ACOT13	226
ACOT2	27
ACOT4	8
ACOT6	0
ACOT7	20
ACOT8	63
ACOT9	397
ACOX1	2076
ACOX2	6
ACOX3	87
ACOXL	6
ACP1	416
ACP2	74
ACP5	97
ACP6	47
ACPP	416
ACPT	3
ACR	0
ACRBP	82
ACRC	152
ACRV1	1
ACSBG1	3
ACSBG2	6
ACSF2	53
ACSF3	272
ACSL1	10458
ACSL3	368
ACSL4	1178
ACSL5	551
ACSL6	185
ACSM1	6
ACSM2A	0
ACSM2B	0
ACSM3	30
ACSM4	1
ACSM5	0
ACSM6	3
ACSS1	327
ACSS2	297
ACSS3	2
ACTA1	3
ACTA2	64
ACTA2_AS1	32
ACTB	38191
ACTBL2	0
ACTC1	0
ACTG1	7798
ACTG1P17	18
ACTG1P20	53
ACTG1P4	24
ACTG2	3
ACTL10	10
ACTL6A	196
ACTL6B	0
ACTL7A	6
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	3937
ACTN1_AS1	0
ACTN2	0
ACTN3	1
ACTN4	2083
ACTR10	233
ACTR1A	712
ACTR1B	304
ACTR2	4514
ACTR3	3367
ACTR3B	84
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	17
ACTR5	78
ACTR6	155
ACTR8	236
ACTRT1	0
ACTRT2	0
ACTRT3	2
ACVR1	194
ACVR1B	99
ACVR1C	20
ACVR2A	313
ACVR2B	128
ACVR2B_AS1	2
ACVRL1	14
ACY1	1
ACY3	1
ACYP1	31
ACYP2	24
ADA	85
ADAD1	0
ADAD2	0
ADAL	106
ADAM10	2704
ADAM11	3
ADAM12	92
ADAM15	321
ADAM17	1010
ADAM18	0
ADAM19	1298
ADAM1A	98
ADAM2	0
ADAM20	22
ADAM20P1	20
ADAM21	7
ADAM21P1	0
ADAM22	79
ADAM23	24
ADAM28	497
ADAM29	0
ADAM30	2
ADAM32	21
ADAM33	2
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	4306
ADAM9	357
ADAMDEC1	15
ADAMTS1	9
ADAMTS10	57
ADAMTS12	0
ADAMTS13	4
ADAMTS14	0
ADAMTS15	0
ADAMTS16	3
ADAMTS17	15
ADAMTS18	1
ADAMTS19	1
ADAMTS19_AS1	0
ADAMTS2	54
ADAMTS20	0
ADAMTS3	3
ADAMTS4	3
ADAMTS5	13
ADAMTS6	61
ADAMTS7	0
ADAMTS7P1	8
ADAMTS8	0
ADAMTS9	0
ADAMTS9_AS1	0
ADAMTS9_AS2	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	1585
ADAMTSL4_AS1	484
ADAMTSL5	3
ADAP1	433
ADAP2	245
ADAR	6682
ADARB1	247
ADARB2	0
ADARB2_AS1	0
ADAT1	521
ADAT2	136
ADAT3	5
ADCK1	26
ADCK2	52
ADCK3	404
ADCK4	160
ADCK5	43
ADCY1	25
ADCY10	18
ADCY10P1	305
ADCY2	0
ADCY3	118
ADCY4	92
ADCY5	5
ADCY6	13
ADCY7	2665
ADCY8	0
ADCY9	178
ADCYAP1	0
ADCYAP1R1	0
ADD1	2096
ADD2	32
ADD3	3144
ADD3_AS1	13
ADGB	1
ADGRA1	0
ADGRA1_AS1	0
ADGRA2	38
ADGRA3	7
ADGRB1	1
ADGRB2	9
ADGRB3	0
ADGRD1	24
ADGRE1	325
ADGRE2	2310
ADGRE3	1132
ADGRE4P	202
ADGRE5	5707
ADGRF1	0
ADGRF2	0
ADGRF3	22
ADGRF4	0
ADGRF5	0
ADGRG1	114
ADGRG2	23
ADGRG3	1282
ADGRG4	0
ADGRG5	71
ADGRG6	17
ADGRG7	0
ADGRL1	142
ADGRL2	0
ADGRL3	0
ADGRL3_AS1	0
ADGRL4	0
ADGRV1	9
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	3
ADH5	316
ADH6	2
ADH7	0
ADHFE1	79
ADI1	237
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	9709
ADIPOR2	674
ADIRF	0
ADK	291
ADM	511
ADM2	10
ADM5	4
ADNP	1579
ADNP_AS1	13
ADNP2	318
ADO	146
ADORA1	1
ADORA2A	16
ADORA2A_AS1	76
ADORA2B	5
ADORA3	10
ADPGK	755
ADPGK_AS1	37
ADPRH	60
ADPRHL1	11
ADPRHL2	127
ADPRM	71
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	10
ADRA2B	0
ADRA2C	0
ADRB1	1
ADRB2	231
ADRB3	0
ADRBK1	3220
ADRBK2	1049
ADRM1	292
ADSL	333
ADSS	535
ADSSL1	12
ADTRP	53
AEBP1	27
AEBP2	410
AEN	111
AES	525
AFAP1	46
AFAP1_AS1	4
AFAP1L1	3
AFAP1L2	24
AFF1	2747
AFF2	257
AFF3	362
AFF4	1595
AFG3L1P	171
AFG3L2	291
AFM	0
AFMID	35
AFP	0
AFTPH	1255
AGA	114
AGAP1	36
AGAP1_IT1	0
AGAP11	0
AGAP2	446
AGAP2_AS1	5
AGAP3	131
AGAP4	80
AGAP5	55
AGAP6	87
AGAP7P	56
AGAP9	50
AGBL1	0
AGBL1_AS1	0
AGBL2	25
AGBL3	22
AGBL4	1
AGBL4_IT1	0
AGBL5	120
AGBL5_AS1	1
AGER	405
AGFG1	1498
AGFG2	117
AGGF1	890
AGK	267
AGL	389
AGMAT	52
AGMO	2
AGO1	893
AGO2	1266
AGO3	527
AGO4	3413
AGPAT1	88
AGPAT2	124
AGPAT3	508
AGPAT4	258
AGPAT4_IT1	25
AGPAT5	187
AGPS	582
AGR2	0
AGR3	0
AGRN	23
AGRP	2
AGT	0
AGTPBP1	4134
AGTR1	0
AGTR2	0
AGTRAP	314
AGXT	0
AGXT2	0
AHCTF1	2219
AHCTF1P1	2
AHCY	113
AHCYL1	546
AHCYL2	199
AHDC1	48
AHI1	63
AHNAK	46615
AHNAK2	13
AHR	1395
AHRR	5
AHSA1	245
AHSA2	718
AHSG	0
AHSP	69
AICDA	0
AIDA	552
AIF1	1341
AIF1L	1
AIFM1	116
AIFM2	28
AIFM3	44
AIG1	105
AIM1	2259
AIM1L	11
AIM2	254
AIMP1	213
AIMP2	9
AIP	233
AIPL1	0
AIRE	5
AIRN	53
AJAP1	2
AJUBA	7
AK1	37
AK2	669
AK3	255
AK4	17
AK5	57
AK6	72
AK7	2
AK8	6
AK9	167
AKAP1	108
AKAP10	885
AKAP11	1215
AKAP12	17
AKAP13	9808
AKAP14	3
AKAP17A	1021
AKAP2	0
AKAP3	1
AKAP4	0
AKAP5	68
AKAP6	15
AKAP7	1024
AKAP8	454
AKAP8L	500
AKAP9	3697
AKIP1	33
AKIRIN1	640
AKIRIN2	441
AKNA	4917
AKNAD1	1
AKR1A1	149
AKR1B1	113
AKR1B10	0
AKR1B15	0
AKR1C1	4
AKR1C2	3
AKR1C3	14
AKR1C4	5
AKR1C6P	4
AKR1C8P	3
AKR1D1	0
AKR1E2	13
AKR7A2	71
AKR7A2P1	1
AKR7A3	2
AKR7L	4
AKT1	1189
AKT1S1	56
AKT2	750
AKT3	934
AKTIP	255
ALAD	181
